design,fold_id,model_id,parameter_count,feature_count,state_sha256
leave_profile_out,leave_profile_out_P-V02,B1_persistence_last_rate,1,0,e2a91e941108b1c6cdc3a54bb7a16b3dfe3424c3fa78605c739074574053b120
leave_profile_out,leave_profile_out_P-V02,B3_profile_robust_trend,3,0,70374f3fbb93e199a67aa292a753449c99600b99f281812390d1567857b74e3f
leave_profile_out,leave_profile_out_P-V02,B5_fixed_kalman,0,0,8cc78dd6f31221cd1b84ff739d3308638f980520d7777db5138075111e8776a8
leave_profile_out,leave_profile_out_P-V02,M1_ridge,74,73,f9fb2e7361b63bc4ca2b843b06cdc1fcb0e008aef467139c0a69709ae1dbfc6f
leave_profile_out,leave_profile_out_P-V02,M2_extra_trees,40506,73,422d71ec96a203b7e354a8ab8703f42623d996391b2502aad2d7617142113e4b
leave_profile_out,leave_profile_out_P-V03,B1_persistence_last_rate,1,0,9431e30bc56c463e1112e018eab743e9b5ed03224ffd36cd68d1ded1d8cbe02f
leave_profile_out,leave_profile_out_P-V03,B3_profile_robust_trend,3,0,bad12ba172c408e7bcd004b0409d121d5aea1ea7a678b394a60d191f7b2f5f60
leave_profile_out,leave_profile_out_P-V03,B5_fixed_kalman,0,0,68e9bb02f4c317d69b05a8ddad6475959bd6ba01e74411f879c63bc9c55b53fb
leave_profile_out,leave_profile_out_P-V03,M1_ridge,74,73,d7c3cb93425a4c3ec53dbfb2e994fc534e040069fdc75daedf5bedf62e5bdc8e
leave_profile_out,leave_profile_out_P-V03,M2_extra_trees,42062,73,b02b5813ff2abe4c9371d59c52e22bc20a26884d59544937bcd89b57255de0c6
leave_profile_out,leave_profile_out_P-V04,B1_persistence_last_rate,1,0,189e13fef525e79954b7fd272d2bb518ab9f6ef64f41fb1959d9357778d3a255
leave_profile_out,leave_profile_out_P-V04,B3_profile_robust_trend,3,0,ca1a04d21398bb8e980a966de47f3659f5214a61d2921b64136c3be0116409da
leave_profile_out,leave_profile_out_P-V04,B5_fixed_kalman,0,0,65ce994cfd4f3fc25ede712187cbbaea712a85d57b45aeae829801123f8667e3
leave_profile_out,leave_profile_out_P-V04,M1_ridge,74,73,16892d40f26be31e8754ff817eff2cb8a3fbdf46c98ce00410a55a3edb66b35e
leave_profile_out,leave_profile_out_P-V04,M2_extra_trees,39972,73,cad8b81dcef7495414e780156d624a9166f576b20d28972d95188ada9012d1bc
leave_profile_out,leave_profile_out_P-V05,B1_persistence_last_rate,1,0,9c3c0cb61ee4391fe5501e005e85a39938b5c9486f01ccdfcc7ec5596b47d9c6
leave_profile_out,leave_profile_out_P-V05,B3_profile_robust_trend,3,0,475fcfe4427f241e9a15e441197b0759dff478d21daaadaf0fbded5eb2a532fa
leave_profile_out,leave_profile_out_P-V05,B5_fixed_kalman,0,0,e137ccb132f45664c8ba200b4808d3b2e38d3071d48ed5a2d85fbf4220f33fa1
