design,fold_id,held_out_group,model_id,family,train_rows,validation_rows,fit_seconds,inference_seconds,n,mae,rmse,bias,r2,precision_weighted_n,precision_weighted_mae,precision_weighted_rmse,precision_weighted_bias,precision_weighted_r2
rolling_origin,rolling_03,,B3_profile_robust_trend,profile_robust_trend,925,88,0.001183200001833029,0.0001917000045068562,88,8.791259678501376,13.859074102126241,-5.2628701139539675,0.8689343597054416,88,7.391414043919141,11.844733041413303,-4.357593536600411,0.8737436677789567
rolling_origin,rolling_03,,B5_fixed_kalman,fixed_kalman,925,88,0.00043759999971371144,0.15682000000379048,88,7.371523190947882,13.152955281342745,-3.814325897556418,0.8819496967930456,88,6.217961537216988,11.357301791104478,-3.1449888675976747,0.8839211899857126
rolling_origin,rolling_03,,M1_ridge,ridge,925,88,0.029384199995547533,0.011951100008445792,88,6.8062907398844725,11.229765710364457,-2.3297519798702515,0.913947833101871,88,5.825114792322329,9.550741477390783,-2.44541490530649,0.9179125444606644
rolling_origin,rolling_03,,M2_extra_trees,extra_trees,925,88,0.530742899994948,0.021377400000346825,88,6.2722062727142625,10.26153560415248,-2.0511655776376947,0.9281469624485122,88,5.285228624285868,8.84884679379938,-1.6909431784248388,0.9295345926719815
rolling_origin,rolling_04,,B1_persistence_last_rate,persistence,1013,14,0.00047169999743346125,3.340000694151968e-05,14,10.596637402124951,13.839011882398884,-4.0937661576734925,0.9078693831980319,14,10.26663889653912,13.361927158979505,-4.432062243215355,0.9154725042438892
rolling_origin,rolling_04,,B3_profile_robust_trend,profile_robust_trend,1013,14,0.0008694999996805564,0.0001875000016298145,14,14.190880956893652,17.881963442256296,-9.739460627793616,0.8461759577873562,14,14.001118953344017,17.715376624471073,-9.736852176232267,0.851419921907023
rolling_origin,rolling_04,,B5_fixed_kalman,fixed_kalman,1013,14,0.0004293000092729926,0.03454840001359116,14,10.981743032382443,14.853741896992013,-3.45782558482865,0.89386330481993,14,10.487088191692704,14.24949870938826,-3.5859524790043227,0.903869992668172
rolling_origin,rolling_04,,M1_ridge,ridge,1013,14,0.029579499998362735,0.012340600005700253,14,11.219355422289787,16.14664976990018,-0.2392224912983854,0.8745823483052648,14,10.754742955578006,15.38999605339076,-0.6493231428372197,0.887866127738657
rolling_origin,rolling_04,,M2_extra_trees,extra_trees,1013,14,0.5674388000043109,0.021151699998881668,14,9.850893128513201,14.549117236169675,-0.3482189845900882,0.8981720264426699,14,9.478736399709645,13.81212496318497,-0.8881135489291409,0.909680650596368
rolling_origin,rolling_05,,B1_persistence_last_rate,persistence,1027,14,0.0004631999909179285,3.640000068116933e-05,14,10.663431948897289,14.232002584142826,-3.4748920556982945,0.9491517627818554,14,10.844961903458985,14.505724682911712,-4.1900319794757666,0.9465228704570845
