tuning_context,student_t_df,inner_folds,validation_rows,volatile_or_gap_rows,overall_mae,reference_b7_overall_mae,overall_normalized_mae,volatile_or_gap_mae,reference_b7_volatile_or_gap_mae,volatile_or_gap_normalized_mae,tuning_score,inner_fold_contract_sha256,all_inner_folds_forward_only,selected
outer::train_leave_profile_out_P-V01,30.0,3,108,6,6.99645228799818,6.459177355578471,1.0831800866956673,3.0930533104102373,3.376082110117047,0.9161664940379672,0.9996732903668173,4337da89e63059112a1cd8e25e487bd216a31aedc0c4c7508e847a4b910b89d6,True,True
outer::train_leave_profile_out_P-V02,3.0,3,107,7,7.229829007731496,6.192251867995549,1.1675605517757814,7.839618518091997,3.368174295496939,2.327557255149512,1.7475589034626466,df6a898d1e8ea6fce8700ae023e2d38f5bace1032150518cc0979d96f7ed2dc3,True,False
outer::train_leave_profile_out_P-V02,5.0,3,107,7,7.2989071914663235,6.192251867995549,1.1787161354321658,8.341944051788435,3.368174295496939,2.476696073282534,1.82770610435735,df6a898d1e8ea6fce8700ae023e2d38f5bace1032150518cc0979d96f7ed2dc3,True,False
outer::train_leave_profile_out_P-V02,10.0,3,107,7,7.024945582854775,6.192251867995549,1.134473489226589,6.004059520365082,3.368174295496939,1.78258575525387,1.4585296222402295,df6a898d1e8ea6fce8700ae023e2d38f5bace1032150518cc0979d96f7ed2dc3,True,False
outer::train_leave_profile_out_P-V02,30.0,3,107,7,6.76869338480593,6.192251867995549,1.093090773614959,2.9976277839217498,3.368174295496939,0.8899859451838377,0.9915383593993984,df6a898d1e8ea6fce8700ae023e2d38f5bace1032150518cc0979d96f7ed2dc3,True,True
outer::train_leave_profile_out_P-V03,3.0,3,107,7,7.362911833684522,6.468827058033797,1.138214357507106,7.690483677877773,3.2771130862773066,2.3467251435665015,1.7424697505368036,5e1cf356a489b090aeeef7290dbcbbd599b6804cdb53c2c1876258b2d29333d4,True,False
outer::train_leave_profile_out_P-V03,5.0,3,107,7,7.445747405475159,6.468827058033797,1.1510197039860728,8.261007371428025,3.2771130862773066,2.5208185234804517,1.8359191137332622,5e1cf356a489b090aeeef7290dbcbbd599b6804cdb53c2c1876258b2d29333d4,True,False
outer::train_leave_profile_out_P-V03,10.0,3,107,7,7.170093729318481,6.468827058033797,1.1084070829214336,5.463786057697578,3.2771130862773066,1.667255878528214,1.3878314807248238,5e1cf356a489b090aeeef7290dbcbbd599b6804cdb53c2c1876258b2d29333d4,True,False
outer::train_leave_profile_out_P-V03,30.0,3,107,7,7.036814586247542,6.468827058033797,1.0878037893296817,3.7501567525301143,3.2771130862773066,1.144347678520356,1.116075733925019,5e1cf356a489b090aeeef7290dbcbbd599b6804cdb53c2c1876258b2d29333d4,True,True
outer::train_leave_profile_out_P-V04,3.0,3,107,7,7.246753140782994,6.349921755416754,1.1412350293294882,7.693576753590977,3.2789182582225957,2.3463765021581957,1.743805765743842,847aaea90532d854df41e4770d1dd9589b61e19c643dc6f7142542ec46306566,True,False
outer::train_leave_profile_out_P-V04,5.0,3,107,7,7.329946963437815,6.349921755416754,1.1543365801610166,8.26265967527892,3.2789182582225957,2.5199346322704193,1.837135606215718,847aaea90532d854df41e4770d1dd9589b61e19c643dc6f7142542ec46306566,True,False
outer::train_leave_profile_out_P-V04,10.0,3,107,7,7.054343485066675,6.349921755416754,1.110933922776138,5.475718094663868,3.2789182582225957,1.6699770056579857,1.390455464217062,847aaea90532d854df41e4770d1dd9589b61e19c643dc6f7142542ec46306566,True,False
outer::train_leave_profile_out_P-V04,30.0,3,107,7,6.917543662432774,6.349921755416754,1.0893903781620322,3.7222863598166067,3.2789182582225957,1.1352177964431318,1.112304087302582,847aaea90532d854df41e4770d1dd9589b61e19c643dc6f7142542ec46306566,True,True
outer::train_leave_profile_out_P-V05,3.0,3,108,7,7.372776513812253,6.487632449688522,1.1364356058990717,7.69404497573637,3.2792207529190445,2.346302843103017,1.7413692245010441,e1103221baa0da6b0d42e59b6a68bfba82da54d629e580cf4df75d7b6dbcd40c,True,False
outer::train_leave_profile_out_P-V05,5.0,3,108,7,7.456210715591488,6.487632449688522,1.1492961066173637,8.263320750384798,3.2792207529190445,2.519903773794151,1.8345999402057576,e1103221baa0da6b0d42e59b6a68bfba82da54d629e580cf4df75d7b6dbcd40c,True,False
outer::train_leave_profile_out_P-V05,10.0,3,108,7,7.184267835658923,6.487632449688522,1.1073789847641333,5.4764099128518025,3.2792207529190445,1.6700339274130598,1.3887064560885967,e1103221baa0da6b0d42e59b6a68bfba82da54d629e580cf4df75d7b6dbcd40c,True,False
outer::train_leave_profile_out_P-V05,30.0,3,108,7,7.049599277667049,6.487632449688522,1.0866212493288685,3.7228008636345358,3.2792207529190445,1.1352699754417668,1.1109456123853176,e1103221baa0da6b0d42e59b6a68bfba82da54d629e580cf4df75d7b6dbcd40c,True,True
