design,model_id,scope,segment,rows,points,profiles,n,mae,rmse,bias,r2,reference_b1_mae,improvement_vs_b1_percent
rolling_origin,B6_adaptive_kalman,mechanism,decelerating,14,14,7,14,5.506831029842845,6.962022978960411,-2.23855265706665,0.9537380027179942,5.549320012882371,0.7656610709220489
rolling_origin,B1_persistence_last_rate,mechanism,decelerating,14,14,7,14,5.549320012882371,6.76951123153549,-3.504817062507104,0.9562610754692837,5.549320012882371,0.0
rolling_origin,B5_fixed_kalman,mechanism,stable,148,77,14,148,4.515913189216542,5.508659601241413,1.427170243149987,0.9662609050648723,4.956723452845489,8.893178484183792
rolling_origin,B6_adaptive_kalman,mechanism,stable,148,77,14,148,4.752595415578907,5.79845895681414,1.0101947685695873,0.9626176387682285,4.956723452845489,4.118205084639118
rolling_origin,B1_persistence_last_rate,mechanism,stable,148,77,14,148,4.956723452845489,6.031732914881516,1.1458506149341767,0.95954932618117,4.956723452845489,0.0
rolling_origin,B6_adaptive_kalman,mechanism,volatile_or_gap,22,20,12,22,11.79179771847512,21.17762170763724,-5.932066226725943,0.7966988557593787,11.939083474456947,1.233643740718765
rolling_origin,B1_persistence_last_rate,mechanism,volatile_or_gap,22,20,12,22,11.939083474456947,21.04406270436774,-5.6513065087634615,0.7992550519008977,11.939083474456947,0.0
rolling_origin,B5_fixed_kalman,mechanism,volatile_or_gap,22,20,12,22,13.216435234488165,22.282188550575217,-7.380313964989459,0.7749385357108978,11.939083474456947,-10.698909700765942
rolling_origin,B5_fixed_kalman,stable_vs_transition,stable,148,77,14,148,4.515913189216542,5.508659601241413,1.427170243149987,0.9662609050648723,4.956723452845489,8.893178484183792
rolling_origin,B6_adaptive_kalman,stable_vs_transition,stable,148,77,14,148,4.752595415578907,5.79845895681414,1.0101947685695873,0.9626176387682285,4.956723452845489,4.118205084639118
rolling_origin,B1_persistence_last_rate,stable_vs_transition,stable,148,77,14,148,4.956723452845489,6.031732914881516,1.1458506149341767,0.95954932618117,4.956723452845489,0.0
rolling_origin,B1_persistence_last_rate,stable_vs_transition,transition,70,41,12,70,10.771313720941395,16.986436642090137,-6.792221378249983,0.8881238822860508,10.771313720941395,0.0
rolling_origin,B6_adaptive_kalman,stable_vs_transition,transition,70,41,12,70,11.622640055428873,18.133808230133372,-8.21807155388094,0.872499802545788,10.771313720941395,-7.903644407203037
rolling_origin,B5_fixed_kalman,stable_vs_transition,transition,70,41,12,70,14.420464337872147,21.88135646063427,-10.53200491178429,0.8143558354835506,10.771313720941395,-33.87841735438584
temporal_holdout,B1_persistence_last_rate,all,all,130,90,14,130,7.31092175130067,11.071272766527729,-3.0461735358418554,0.9422866223175526,7.31092175130067,0.0
temporal_holdout,B6_adaptive_kalman,all,all,130,90,14,130,7.453611564340219,12.046557206038587,-2.894875862058721,0.9316706506420493,7.31092175130067,-1.9517349233585173
temporal_holdout,B5_fixed_kalman,all,all,130,90,14,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477,7.31092175130067,-9.918238290922966
temporal_holdout,B1_persistence_last_rate,mechanism,accelerating,17,14,5,17,15.899645907500352,20.925020619215772,-15.064793968910285,0.8285626973625461,15.899645907500352,0.0
temporal_holdout,B6_adaptive_kalman,mechanism,accelerating,17,14,5,17,19.405763782927966,24.839645293549406,-19.284630693886783,0.7584181428692827,15.899645907500352,-22.051546907555164
temporal_holdout,B5_fixed_kalman,mechanism,accelerating,17,14,5,17,23.177779574328067,29.330375187279216,-23.12380269023456,0.6631715455106534,15.899645907500352,-45.77544499525235
temporal_holdout,B6_adaptive_kalman,mechanism,decelerating,11,11,4,11,4.014221806040838,5.047298563807607,1.717187345880088,0.978851288159733,4.765521845408721,15.76532568183931
temporal_holdout,B5_fixed_kalman,mechanism,decelerating,11,11,4,11,4.034845855753166,5.077912514007825,1.9435376306723888,0.9785939587723896,4.765521845408721,15.332549369373169
temporal_holdout,B1_persistence_last_rate,mechanism,decelerating,11,11,4,11,4.765521845408721,6.023320404078485,-3.254669786177852,0.9698811864327967,4.765521845408721,0.0
temporal_holdout,B6_adaptive_kalman,mechanism,stable,88,75,14,88,4.716224898411509,5.739560139974582,0.18236786721587694,0.9718783296831943,5.290341954457996,10.852172902787453
temporal_holdout,B5_fixed_kalman,mechanism,stable,88,75,14,88,4.746310281314668,5.76986739560713,0.1664225772571401,0.9715805574309134,5.290341954457996,10.283487869529694
temporal_holdout,B1_persistence_last_rate,mechanism,stable,88,75,14,88,5.290341954457996,6.431326028435082,-0.3455478833090866,0.9646910385972081,5.290341954457996,0.0
temporal_holdout,B1_persistence_last_rate,mechanism,volatile_or_gap,14,14,9,14,11.582501067841532,17.83256235589609,-5.263677200629313,0.8664398502312229,11.582501067841532,0.0
temporal_holdout,B6_adaptive_kalman,mechanism,volatile_or_gap,14,14,9,14,12.849092009127926,19.267353463046568,-5.959469527945465,0.8440829805557919,11.582501067841532,-10.935383764418944
temporal_holdout,B5_fixed_kalman,mechanism,volatile_or_gap,14,14,9,14,13.471704929209555,19.57771913623267,-6.847903635197036,0.839019384953971,11.582501067841532,-16.31084556178752
temporal_holdout,B6_adaptive_kalman,stable_vs_transition,stable,88,75,14,88,4.716224898411509,5.739560139974582,0.18236786721587694,0.9718783296831943,5.290341954457996,10.852172902787453
temporal_holdout,B5_fixed_kalman,stable_vs_transition,stable,88,75,14,88,4.746310281314668,5.76986739560713,0.1664225772571401,0.9715805574309134,5.290341954457996,10.283487869529694
temporal_holdout,B1_persistence_last_rate,stable_vs_transition,stable,88,75,14,88,5.290341954457996,6.431326028435082,-0.3455478833090866,0.9646910385972081,5.290341954457996,0.0
temporal_holdout,B1_persistence_last_rate,stable_vs_transition,transition,42,32,10,42,11.544517516113888,17.109346159765924,-8.70462728400575,0.8949377561568226,11.544517516113888,0.0
temporal_holdout,B6_adaptive_kalman,stable_vs_transition,transition,42,32,10,42,13.189088388190847,19.49761634671381,-9.342434151967401,0.8635596305318269,11.544517516113888,-14.245470802755149
temporal_holdout,B5_fixed_kalman,stable_vs_transition,transition,42,32,10,42,14.928795861566567,21.970901648940583,-11.13324720688928,0.8267490575903021,11.544517516113888,-29.31502629476622
