tuning_context,candidate_key,q_base,acceleration_gain,inner_fold_id,train_rows,validation_rows,train_target_date_max,validation_target_date_min,validation_target_date_max,train_sample_ids_sha256,validation_sample_ids_sha256,n,mae,rmse,bias,r2,candidate_aggregate_mae,candidate_aggregate_rmse,selected
outer::leave_profile_out_P-H01,q=0.5|gain=0.25,0.5,0.25,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,c9525895a91106a8c998690f582a6b91497961a2b78ebf568d7c0b489720f03d,2964a5e07e5fa284ac3e3c000c499f27ab6b91243844798da0ab5a7ef25c6c1c,81,6.744097229059175,11.702316161652274,-1.4601911698565089,0.8046075871705552,8.667796397818023,15.660113785648795,False
outer::leave_profile_out_P-H01,q=0.5|gain=0.25,0.5,0.25,rolling_02,751,14,2023-05-16,2023-07-25,2023-07-25,a57d32ed4b0363793a37eb8bd493f00115110d0aa1281def0bf2ac8da08e39aa,eee99ecbe76acf0c2c4a815bd89561498ad4893f0703a5e098d5d541405fbae9,14,18.866338490362715,28.59912601956177,-15.909584514551351,0.46484356056181064,8.667796397818023,15.660113785648795,False
outer::leave_profile_out_P-H01,q=0.5|gain=0.25,0.5,0.25,rolling_03,765,81,2023-07-25,2023-11-07,2023-11-07,926757ff3157b5555a6c9ecebb1aab6df12033b656e51d94ca6f41a861c29c17,d2cf4b4b0ef1d791e5497a9c41e123c0521da859cd120707105f0525ec21f206,81,8.828784587618525,15.95474781718159,-1.6893606975432598,0.7870434234153867,8.667796397818023,15.660113785648795,False
outer::leave_profile_out_P-H01,q=0.5|gain=0,0.5,0.0,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,c9525895a91106a8c998690f582a6b91497961a2b78ebf568d7c0b489720f03d,2964a5e07e5fa284ac3e3c000c499f27ab6b91243844798da0ab5a7ef25c6c1c,81,6.871016005116013,13.517482104212263,-1.9958913985778801,0.739291225666382,8.822218108396811,17.075628943582327,False
outer::leave_profile_out_P-H01,q=0.5|gain=0,0.5,0.0,rolling_02,751,14,2023-05-16,2023-07-25,2023-07-25,a57d32ed4b0363793a37eb8bd493f00115110d0aa1281def0bf2ac8da08e39aa,eee99ecbe76acf0c2c4a815bd89561498ad4893f0703a5e098d5d541405fbae9,14,19.40868773400097,29.703161118571344,-16.259879400742655,0.4227278914180984,8.822218108396811,17.075628943582327,False
outer::leave_profile_out_P-H01,q=0.5|gain=0,0.5,0.0,rolling_03,765,81,2023-07-25,2023-11-07,2023-11-07,926757ff3157b5555a6c9ecebb1aab6df12033b656e51d94ca6f41a861c29c17,d2cf4b4b0ef1d791e5497a9c41e123c0521da859cd120707105f0525ec21f206,81,8.943660029474417,17.272390452907402,-2.3356718303082,0.750416389861481,8.822218108396811,17.075628943582327,False
outer::leave_profile_out_P-H01,q=0.5|gain=0.5,0.5,0.5,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,c9525895a91106a8c998690f582a6b91497961a2b78ebf568d7c0b489720f03d,2964a5e07e5fa284ac3e3c000c499f27ab6b91243844798da0ab5a7ef25c6c1c,81,7.270277375622681,10.837464893778671,-0.924490941135138,0.8324210562859775,8.84376791648223,14.73296409929255,False
outer::leave_profile_out_P-H01,q=0.5|gain=0.5,0.5,0.5,rolling_02,751,14,2023-05-16,2023-07-25,2023-07-25,a57d32ed4b0363793a37eb8bd493f00115110d0aa1281def0bf2ac8da08e39aa,eee99ecbe76acf0c2c4a815bd89561498ad4893f0703a5e098d5d541405fbae9,14,18.32398924672445,27.503580121822793,-15.559289628360037,0.505058703796817,8.84376791648223,14.73296409929255,False
outer::leave_profile_out_P-H01,q=0.5|gain=0.5,0.5,0.5,rolling_03,765,81,2023-07-25,2023-11-07,2023-11-07,926757ff3157b5555a6c9ecebb1aab6df12033b656e51d94ca6f41a861c29c17,d2cf4b4b0ef1d791e5497a9c41e123c0521da859cd120707105f0525ec21f206,81,8.778701684213495,14.947992779123723,-1.0430495647783204,0.813070894726142,8.84376791648223,14.73296409929255,False
outer::leave_profile_out_P-H02,q=10|gain=0,10.0,0.0,rolling_01,670,81,2023-01-17,2023-05-16,2023-05-16,8ea6fc4a05e6df7513a5867548bccb7b0d6f5134dab9cc3c2d7a18d0b576c115,940f5b20042bf707144c69265250e69d222ec3de5a98a4aa15598f559c2048d2,81,4.642827616331983,7.629480070178169,-1.2566531208514635,0.9204686641834219,5.548289873206143,10.202160732324208,True
