old_row_id,new_row_id,row_kind,vn_ids,finding_id
GEO-0085,MGEO-0085,mining_geometry,EV-VN-S014-0586,DOCS_LEAKAGE-019
GEO-0086,MGEO-0086,mining_geometry,EV-VN-S014-0599,DOCS_LEAKAGE-019
GEO-0087,MGEO-0087,mining_geometry,EV-VN-S014-0661,DOCS_LEAKAGE-019
GEO-0088,MGEO-0088,mining_geometry,EV-VN-S014-0676,DOCS_LEAKAGE-019
GEO-0089,MGEO-0089,mining_geometry,EV-VN-S014-0798,DOCS_LEAKAGE-019
GEO-0090,MGEO-0090,mining_geometry,EV-VN-S014-0801,DOCS_LEAKAGE-019
GEO-0091,MGEO-0091,mining_geometry,EV-VN-S014-0815,DOCS_LEAKAGE-019
GEO-0092,MGEO-0092,mining_geometry,EV-VN-S014-0819,DOCS_LEAKAGE-019
GEO-0093,MGEO-0093,mining_geometry,EV-VN-S014-0825,DOCS_LEAKAGE-019
GEO-0094,MGEO-0094,mining_geometry,EV-VN-S014-0828,DOCS_LEAKAGE-019
GEO-0095,MGEO-0095,mining_geometry,EV-VN-S014-0830,DOCS_LEAKAGE-019
GEO-0096,MGEO-0096,mining_geometry,EV-VN-S014-0831,DOCS_LEAKAGE-019
GEO-0097,MGEO-0097,mining_geometry,EV-VN-S014-0836,DOCS_LEAKAGE-019
GEO-0098,MGEO-0098,mining_geometry,EV-VN-S014-0838,DOCS_LEAKAGE-019
GEO-0099,MGEO-0099,mining_geometry,EV-VN-S014-0843,DOCS_LEAKAGE-019
GEO-0100,MGEO-0100,mining_geometry,EV-VN-S014-0865,DOCS_LEAKAGE-019
GEO-0101,MGEO-0101,mining_geometry,EV-VN-S014-0867,DOCS_LEAKAGE-019
GEO-0102,MGEO-0102,mining_geometry,EV-VN-S014-0872,DOCS_LEAKAGE-019
GEO-0103,MGEO-0103,mining_geometry,EV-VN-S014-0875,DOCS_LEAKAGE-019
GEO-0104,MGEO-0104,mining_geometry,EV-VN-S014-0876,DOCS_LEAKAGE-019
GEO-0105,MGEO-0105,mining_geometry,EV-VN-S014-0879,DOCS_LEAKAGE-019
