vn_id,cat_id
EV-VN-S015-0048,MON-0291
EV-VN-S015-0049,MON-0292
EV-VN-S015-0050,MON-0293
EV-VN-S015-0051,MON-0294
EV-VN-S015-0075,MON-0295
EV-VN-S023-0057,MON-0296
EV-VN-S040-0012,MON-0297
EV-VN-S040-0093,MON-0298
EV-VN-S040-0095,MON-0299
EV-VN-S040-0162,MON-0300
EV-VN-S040-0169,MON-0301
EV-VN-S040-0173,MON-0302
EV-VN-S040-0176,MON-0303
EV-VN-S040-0178,MON-0304
EV-VN-S040-0179,MON-0305
EV-VN-S040-0183,MON-0306
EV-VN-S040-0185,MON-0307
EV-VN-S040-0198,MON-0308
EV-VN-S040-0200,MON-0309
EV-VN-S040-0202,MON-0310
EV-VN-S040-0208,MON-0311
EV-VN-S040-0217,MON-0312
EV-VN-S040-0218,MON-0313
EV-VN-S040-0224,MON-0314
EV-VN-S040-0239,MON-0315
EV-VN-S040-0240,MON-0316
EV-VN-S040-0242,MON-0317
EV-VN-S040-0243,MON-0318
EV-VN-S040-0253,MON-0319
EV-VN-S040-0270,MON-0320
EV-VN-S040-0275,MON-0321
EV-VN-S040-0295,MON-0322
EV-VN-S040-0298,MON-0323
EV-VN-S040-0310,MON-0324
EV-VN-S040-0315,MON-0325
EV-VN-S040-0322,MON-0326
EV-VN-S040-0336,MON-0327
EV-VN-S040-0374,MON-0328
EV-VN-S041-0007,MON-0329
EV-VN-S041-0021,MON-0330
EV-VN-S041-0022,MON-0331
EV-VN-S011-0300,MON-0332
EV-VN-S012-0055,MON-0333
EV-VN-S012-0405,MON-0334
EV-VN-S012-0406,MON-0335
EV-VN-S012-0423,MON-0336
EV-VN-S024-0180,MON-0337
EV-VN-S025-0511,MON-0338
EV-VN-S030-0019,MON-0339
EV-VN-S037-0344,MON-0340
EV-VN-S005-0011,MON-0341
EV-VN-S011-0067,MON-0342
EV-VN-S011-0068,MON-0343
EV-VN-S011-0069,MON-0344
EV-VN-S011-0070,MON-0345
EV-VN-S011-0071,MON-0346
EV-VN-S011-0307,MON-0347
EV-VN-S011-0478,MON-0348
EV-VN-S011-0648,MON-0349
EV-VN-S011-0659,MON-0350
EV-VN-S011-2008,MON-0351
EV-VN-S012-0051,MON-0352
EV-VN-S012-0178,MON-0353
EV-VN-S012-0180,MON-0354
EV-VN-S012-0182,MON-0355
EV-VN-S012-0732,MON-0356
EV-VN-S014-0170,MON-0357
EV-VN-S021-0056,MON-0358
EV-VN-S040-0134,MON-0359
EV-VN-S040-0136,MON-0360
EV-VN-S040-0140,MON-0361
EV-VN-S011-0541,MON-0362
EV-VN-S012-0144,MON-0363
EV-VN-S018-0024,MON-0364
EV-VN-S023-0303,MON-0365
EV-VN-S011-0535,MON-0366
EV-VN-S011-0592,MON-0367
EV-VN-S018-0035,MON-0368
EV-VN-S040-0106,MON-0369
EV-VN-S040-0116,MON-0370
EV-VN-S040-0117,MON-0371
EV-VN-S040-0119,MON-0372
EV-VN-S040-0129,MON-0373
EV-VN-S025-0263,MON-0374
EV-VN-S025-0264,MON-0375
EV-VN-S025-0532,MON-0376
EV-VN-S040-0092,MON-0377
EV-VN-S040-0142,MON-0378
EV-VN-S040-0144,MON-0379
EV-VN-S040-0145,MON-0380
EV-VN-S040-0148,MON-0381
EV-VN-S040-0151,MON-0382
EV-VN-S040-0152,MON-0383
EV-VN-S040-0197,MON-0384
EV-VN-S040-0211,MON-0385
EV-VN-S040-0213,MON-0386
EV-VN-S040-0245,MON-0387
EV-VN-S006-0025,MON-0388
EV-VN-S006-0135,MON-0389
EV-VN-S006-0177,MON-0390
EV-VN-S010-0011,MON-0391
EV-VN-S010-0015,MON-0392
EV-VN-S018-0011,MON-0393
EV-VN-S020-0260,MON-0394
EV-VN-S020-0310,MON-0395
EV-VN-S024-0091,MON-0396
EV-VN-S037-1093,MON-0397
EV-VN-S011-1650,MON-0398
EV-VN-S020-0286,MON-0399
EV-VN-S020-0289,MON-0400
EV-VN-S020-0294,MON-0401
EV-VN-S020-0295,MON-0402
EV-VN-S024-0061,MON-0403
EV-VN-S024-0065,MON-0404
EV-VN-S024-0070,MON-0405
EV-VN-S024-0075,MON-0406
EV-VN-S024-0118,MON-0407
EV-VN-S024-0142,MON-0408
EV-VN-S024-0086,MON-0409
EV-VN-S024-0108,MON-0410
EV-VN-S024-0449,MON-0411
EV-VN-S011-0629,MON-0412
EV-VN-S014-0377,MON-0413
EV-VN-S020-0223,MON-0414
EV-VN-S037-0725,MON-0415
EV-VN-S040-0081,MON-0416
EV-VN-S040-0083,MON-0417
EV-VN-S040-0084,MON-0418
EV-VN-S040-0087,MON-0419
EV-VN-S025-0996,MON-0420
EV-VN-S025-0997,MON-0421
EV-VN-S037-0726,MON-0422
EV-VN-S037-0508,MON-0423
EV-VN-S037-0514,MON-0424
EV-VN-S037-0516,MON-0425
EV-VN-S011-0701,MON-0426
EV-VN-S014-1115,MON-0427
EV-VN-S024-0047,MON-0428
EV-VN-S024-0443,MON-0429
EV-VN-S011-1696,MON-0430
EV-VN-S011-1697,MON-0431
EV-VN-S011-1701,MON-0432
EV-VN-S014-0397,MON-0433
EV-VN-S014-0862,MON-0434
EV-VN-S020-0183,MON-0435
EV-VN-S020-0231,MON-0436
EV-VN-S020-0236,MON-0437
EV-VN-S020-0416,MON-0438
EV-VN-S020-0419,MON-0439
EV-VN-S020-0423,MON-0440
EV-VN-S028-0160,MON-0441
EV-VN-S037-0178,MON-0442
EV-VN-S037-0179,MON-0443
EV-VN-S037-0543,MON-0444
EV-VN-S037-1073,MON-0445
EV-VN-S040-0371,MON-0446
EV-VN-S014-0392,MON-0447
EV-VN-S014-1183,MON-0448
EV-VN-S011-1104,MON-0449
EV-VN-S003-0105,MON-0450
EV-VN-S004-0011,MON-0451
EV-VN-S010-0003,MON-0452
EV-VN-S017-0006,MON-0453
EV-VN-S021-0015,MON-0454
EV-VN-S023-0042,MON-0455
EV-VN-S023-0052,MON-0456
EV-VN-S023-0056,MON-0457
EV-VN-S023-0060,MON-0458
EV-VN-S023-0473,MON-0459
EV-VN-S038-0039,MON-0460
EV-VN-S040-0352,MON-0461
EV-VN-S040-0355,MON-0462
EV-VN-S012-0146,MON-0463
EV-VN-S011-0664,MON-0464
EV-VN-S012-0147,MON-0465
EV-VN-S023-0204,MON-0466
EV-VN-S023-0292,MON-0467
EV-VN-S023-0375,MON-0468
EV-VN-S023-0380,MON-0469
EV-VN-S023-0271,MON-0470
EV-VN-S023-0272,MON-0471
EV-VN-S023-0273,MON-0472
EV-VN-S023-0274,MON-0473
EV-VN-S023-0275,MON-0474
EV-VN-S023-0276,MON-0475
EV-VN-S023-0277,MON-0476
EV-VN-S023-0352,MON-0477
EV-VN-S023-0358,MON-0478
EV-VN-S012-0466,MON-0479
EV-VN-S038-0030,MON-0480
EV-VN-S039-0020,MON-0481
EV-VN-S039-0021,MON-0482
EV-VN-S039-0024,MON-0483
EV-VN-S011-1545,MON-0484
EV-VN-S020-0202,MON-0485
EV-VN-S011-1388,MON-0486
EV-VN-S011-1402,MON-0487
EV-VN-S037-0309,MON-0488
EV-VN-S039-0009,MON-0489
