id,source_id,locator,line,method,interval_start,interval_end,x_label_as_printed,value_mm,digitization_status,digitization_uncertainty_mm,status,scope,evidence_note,position_index,reading_origin,raster_x_px,raster_y_px,legacy_point_id
OBS-MUS-P15-1-INSAR-003,VKM-SRC-002,PDF p.15,1,insar,2011,2016,0.3,-43.6,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,3,atlas_digitization,238.269,127.5,SUP01-P1-RADAR-2011_2016-003
OBS-MUS-P15-1-INSAR-004,VKM-SRC-002,PDF p.15,1,insar,2011,2016,0.4,-84.2,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,4,atlas_digitization,293.654,161.5,SUP01-P1-RADAR-2011_2016-004
OBS-MUS-P15-1-INSAR-005,VKM-SRC-002,PDF p.15,1,insar,2011,2016,0.5,-69.9,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,5,atlas_digitization,349.038,149.5,SUP01-P1-RADAR-2011_2016-005
OBS-MUS-P15-1-INSAR-006,VKM-SRC-002,PDF p.15,1,insar,2011,2016,0.6,-96.1,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,6,atlas_digitization,404.423,171.5,SUP01-P1-RADAR-2011_2016-006
OBS-MUS-P15-1-INSAR-007,VKM-SRC-002,PDF p.15,1,insar,2011,2016,0.7,-172.5,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,7,atlas_digitization,459.808,235.5,SUP01-P1-RADAR-2011_2016-007
OBS-MUS-P15-1-INSAR-008,VKM-SRC-002,PDF p.15,1,insar,2011,2016,0.8,-215.5,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,8,atlas_digitization,515.192,271.5,SUP01-P1-RADAR-2011_2016-008
OBS-MUS-P15-1-INSAR-009,VKM-SRC-002,PDF p.15,1,insar,2011,2016,0.9,-253.7,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,9,atlas_digitization,570.577,303.5,SUP01-P1-RADAR-2011_2016-009
OBS-MUS-P15-1-INSAR-010,VKM-SRC-002,PDF p.15,1,insar,2011,2016,1,-278.8,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,10,atlas_digitization,625.962,324.5,SUP01-P1-RADAR-2011_2016-010
OBS-MUS-P15-1-INSAR-011,VKM-SRC-002,PDF p.15,1,insar,2011,2016,1.1,-306.3,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,11,atlas_digitization,681.346,347.5,SUP01-P1-RADAR-2011_2016-011
OBS-MUS-P15-1-INSAR-012,VKM-SRC-002,PDF p.15,1,insar,2011,2016,1.2,-313.4,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,12,atlas_digitization,736.731,353.5,SUP01-P1-RADAR-2011_2016-012
OBS-MUS-P15-1-INSAR-013,VKM-SRC-002,PDF p.15,1,insar,2011,2016,1.3,-319.4,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,13,atlas_digitization,792.115,358.5,SUP01-P1-RADAR-2011_2016-013
OBS-MUS-P15-1-INSAR-014,VKM-SRC-002,PDF p.15,1,insar,2011,2016,1.4,-369.6,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,14,atlas_digitization,847.5,400.5,SUP01-P1-RADAR-2011_2016-014
OBS-MUS-P15-1-INSAR-015,VKM-SRC-002,PDF p.15,1,insar,2015,2016,0,-0.6,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,1,atlas_digitization,127.5,91.5,SUP01-P1-RADAR-2015_2016-001
OBS-MUS-P15-1-INSAR-016,VKM-SRC-002,PDF p.15,1,insar,2015,2016,0.2,-1.8,digitized_marker_or_visible_curve,3.6,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,2,atlas_digitization,182.885,92.5,SUP01-P1-RADAR-2015_2016-002
