scenario_id,dynamic_mechanism,experiment_role,observation_condition,missingness_mechanism,measurement_error_mechanism,base_seed,generator_seed,amplitude_mm,mechanism_parameters_json,constraint_ids,confidence
SCN031-SATURATING-ACCELERATION-STATE-DEPENDENT-GROSS-ERROR,saturating_acceleration,development,state_dependent_gross_error,state_dependent,gross_error,104729,1954393346,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN032-SATURATING-ACCELERATION-PLANNED-CAMPAIGN-FAILURE-ORDINARY,saturating_acceleration,development,planned_campaign_failure_ordinary,planned_campaign_failure,ordinary_noise,104729,551337053,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN033-SATURATING-ACCELERATION-PLANNED-CAMPAIGN-FAILURE-GROSS-ERROR,saturating_acceleration,development,planned_campaign_failure_gross_error,planned_campaign_failure,gross_error,104729,2814221009,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN034-SATURATING-ACCELERATION-PLANNED-CAMPAIGN-FAILURE-DATUM-FAILURE,saturating_acceleration,development,planned_campaign_failure_datum_failure,planned_campaign_failure,reference_datum_failure,104729,2429073715,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN035-SATURATING-ACCELERATION-INDEPENDENT-GROSS-ERROR,saturating_acceleration,development,independent_gross_error,independent,gross_error,104729,1881812451,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN036-SATURATING-ACCELERATION-INDEPENDENT-DATUM-FAILURE,saturating_acceleration,development,independent_datum_failure,independent,reference_datum_failure,104729,2531068150,300.000000000,"{""midpoint_fraction"":0.55,""steepness"":10.0}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,design_choice_with_source_scale_context
SCN037-REACTIVATION-ORDINARY-INDEPENDENT,reactivation,heldout_mechanism,ordinary_independent,independent,ordinary_noise,104729,2803150969,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN038-REACTIVATION-LONG-GAP-GROSS-ERROR,reactivation,heldout_mechanism,long_gap_gross_error,long_gap,gross_error,104729,1197303509,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN039-REACTIVATION-LONG-GAP-ORDINARY,reactivation,heldout_mechanism,long_gap_ordinary,long_gap,ordinary_noise,104729,664615298,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
SCN040-REACTIVATION-LONG-GAP-DATUM-FAILURE,reactivation,heldout_mechanism,long_gap_datum_failure,long_gap,reference_datum_failure,104729,374597481,320.000000000,"{""base_weight"":0.35,""event_fractions"":[0.38,0.72],""event_weights"":[0.3,0.35],""event_width_fraction"":0.035}",FIL-DISP_MAX-ENVELOPE;SIM-TEMPORAL-MECHANISM,heldout_design_choice_not_field_calibration
