tuning_context,candidate_key,inner_fold_id,train_rows,validation_rows,problem_transition_rows,train_target_date_max,validation_target_date_min,validation_target_date_max,train_sample_ids_sha256,validation_sample_ids_sha256,inner_acceleration_threshold,inner_volatility_threshold,overall_mae,b1_overall_mae,problem_transition_mae,b1_problem_transition_mae,q_stable,q_transition,p_stable_stay,p_transition_stay,candidate_overall_mae,candidate_b1_overall_mae,candidate_overall_normalized_mae,candidate_problem_transition_rows,candidate_problem_transition_mae,candidate_b1_problem_transition_mae,candidate_problem_transition_normalized_mae,candidate_tuning_score,selected
calibration::rolling_01,qs=2|qt=200|ps=0.99|pt=0.9,rolling_03,606,13,8,2022-05-17,2022-07-19,2022-07-19,86c954c2318fe1b55fc3de1f47a295a62ccefb2a6e9db4874af601f6ac0eeffd,1f4f2c9b9b1a9898627a6b744dae606625335b963d8397027c1dc5a4a578b4ac,21.921085,5.585402992,11.601221412823252,12.234021875457897,11.090534740459287,11.8220701594941,2.0,200.0,0.99,0.9,4.984623730198562,5.511659980307867,0.9043779456656784,19,9.394971981147956,11.399879116870466,0.8241290881097603,0.8642535168877193,False
calibration::rolling_01,qs=0.5|qt=200|ps=0.99|pt=0.9,rolling_01,503,14,1,2021-11-02,2022-03-01,2022-03-01,39aa646abc71af790b5651b8d371ac3c5da9fc850975ea1f0e8eec1efe1ac7db,9400eab919178645d0c73e6bb3aa0c337b1fad589dd35096e9a2f2224f92f670,22.91385913,5.678972235800001,4.353302205312895,5.806703046969975,0.7272981472491722,20.352355758613356,0.5,200.0,0.99,0.9,4.995857100350149,5.511659980307867,0.9064160558161088,19,9.404656634073575,11.399879116870466,0.8249786280764856,0.8656973419462972,False
calibration::rolling_01,qs=0.5|qt=200|ps=0.99|pt=0.9,rolling_02,517,89,10,2022-03-01,2022-05-17,2022-05-17,a011adf1e06a16e2d6f28273ea336ab37be80c12dec3b0e8852a9d4368e43686,9f0b166aa2b85e719b5d3dd47396baf087815cb3ef5bd38d5cb403d89810b02a,22.866372036,5.6396890292,4.132923853371897,4.48333068176607,8.942166920248116,10.166878618597266,0.5,200.0,0.99,0.9,4.995857100350149,5.511659980307867,0.9064160558161088,19,9.404656634073575,11.399879116870466,0.8249786280764856,0.8656973419462972,False
calibration::rolling_01,qs=0.5|qt=200|ps=0.99|pt=0.9,rolling_03,606,13,8,2022-05-17,2022-07-19,2022-07-19,86c954c2318fe1b55fc3de1f47a295a62ccefb2a6e9db4874af601f6ac0eeffd,1f4f2c9b9b1a9898627a6b744dae606625335b963d8397027c1dc5a4a578b4ac,21.921085,5.585402992,11.595613062779835,12.234021875457897,11.06743858720845,11.8220701594941,0.5,200.0,0.99,0.9,4.995857100350149,5.511659980307867,0.9064160558161088,19,9.404656634073575,11.399879116870466,0.8249786280764856,0.8656973419462972,False
calibration::rolling_01,qs=2|qt=50|ps=0.99|pt=0.9,rolling_01,503,14,1,2021-11-02,2022-03-01,2022-03-01,39aa646abc71af790b5651b8d371ac3c5da9fc850975ea1f0e8eec1efe1ac7db,9400eab919178645d0c73e6bb3aa0c337b1fad589dd35096e9a2f2224f92f670,22.91385913,5.678972235800001,5.2116351742853775,5.806703046969975,10.574209996404647,20.352355758613356,2.0,50.0,0.99,0.9,4.993420441411936,5.511659980307867,0.9059739641509992,19,10.179945771309344,11.399879116870466,0.8929871682800772,0.8994805662155382,False
calibration::rolling_01,qs=2|qt=50|ps=0.99|pt=0.9,rolling_02,517,89,10,2022-03-01,2022-05-17,2022-05-17,a011adf1e06a16e2d6f28273ea336ab37be80c12dec3b0e8852a9d4368e43686,9f0b166aa2b85e719b5d3dd47396baf087815cb3ef5bd38d5cb403d89810b02a,22.866372036,5.6396890292,3.9895893683929695,4.48333068176607,9.182002185604928,10.166878618597266,2.0,50.0,0.99,0.9,4.993420441411936,5.511659980307867,0.9059739641509992,19,10.179945771309344,11.399879116870466,0.8929871682800772,0.8994805662155382,False
calibration::rolling_01,qs=2|qt=50|ps=0.99|pt=0.9,rolling_03,606,13,8,2022-05-17,2022-07-19,2022-07-19,86c954c2318fe1b55fc3de1f47a295a62ccefb2a6e9db4874af601f6ac0eeffd,1f4f2c9b9b1a9898627a6b744dae606625335b963d8397027c1dc5a4a578b4ac,21.921085,5.585402992,11.630801921293463,12.234021875457897,11.378092225302952,11.8220701594941,2.0,50.0,0.99,0.9,4.993420441411936,5.511659980307867,0.9059739641509992,19,10.179945771309344,11.399879116870466,0.8929871682800772,0.8994805662155382,False
calibration::rolling_01,qs=0.5|qt=50|ps=0.99|pt=0.9,rolling_01,503,14,1,2021-11-02,2022-03-01,2022-03-01,39aa646abc71af790b5651b8d371ac3c5da9fc850975ea1f0e8eec1efe1ac7db,9400eab919178645d0c73e6bb3aa0c337b1fad589dd35096e9a2f2224f92f670,22.91385913,5.678972235800001,5.2464848080533315,5.806703046969975,10.580699500647285,20.352355758613356,0.5,50.0,0.99,0.9,4.9891328586315025,5.511659980307867,0.9051960528147135,19,10.19917511500176,11.399879116870466,0.8946739707009869,0.8999350117578502,False
calibration::rolling_01,qs=0.5|qt=50|ps=0.99|pt=0.9,rolling_02,517,89,10,2022-03-01,2022-05-17,2022-05-17,a011adf1e06a16e2d6f28273ea336ab37be80c12dec3b0e8852a9d4368e43686,9f0b166aa2b85e719b5d3dd47396baf087815cb3ef5bd38d5cb403d89810b02a,22.866372036,5.6396890292,3.9786531085687526,4.48333068176607,9.233308410435873,10.166878618597266,0.5,50.0,0.99,0.9,4.9891328586315025,5.511659980307867,0.9051960528147135,19,10.19917511500176,11.399879116870466,0.8946739707009869,0.8999350117578502,False
calibration::rolling_01,qs=0.5|qt=50|ps=0.99|pt=0.9,rolling_03,606,13,8,2022-05-17,2022-07-19,2022-07-19,86c954c2318fe1b55fc3de1f47a295a62ccefb2a6e9db4874af601f6ac0eeffd,1f4f2c9b9b1a9898627a6b744dae606625335b963d8397027c1dc5a4a578b4ac,21.921085,5.585402992,11.629884432760676,12.234021875457897,11.358817947503429,11.8220701594941,0.5,50.0,0.99,0.9,4.9891328586315025,5.511659980307867,0.9051960528147135,19,10.19917511500176,11.399879116870466,0.8946739707009869,0.8999350117578502,False
calibration::rolling_01,qs=2|qt=50|ps=0.97|pt=0.9,rolling_01,503,14,1,2021-11-02,2022-03-01,2022-03-01,39aa646abc71af790b5651b8d371ac3c5da9fc850975ea1f0e8eec1efe1ac7db,9400eab919178645d0c73e6bb3aa0c337b1fad589dd35096e9a2f2224f92f670,22.91385913,5.678972235800001,5.071688401930846,5.806703046969975,10.341473663099777,20.352355758613356,2.0,50.0,0.97,0.9,4.973666761026064,5.511659980307867,0.902389983924271,19,10.24690066061225,11.399879116870466,0.898860466463022,0.9006252251936465,False
calibration::rolling_01,qs=2|qt=50|ps=0.97|pt=0.9,rolling_02,517,89,10,2022-03-01,2022-05-17,2022-05-17,a011adf1e06a16e2d6f28273ea336ab37be80c12dec3b0e8852a9d4368e43686,9f0b166aa2b85e719b5d3dd47396baf087815cb3ef5bd38d5cb403d89810b02a,22.866372036,5.6396890292,3.974855126094528,4.48333068176607,9.243108149025597,10.166878618597266,2.0,50.0,0.97,0.9,4.973666761026064,5.511659980307867,0.902389983924271,19,10.24690066061225,11.399879116870466,0.898860466463022,0.9006252251936465,False
calibration::rolling_01,qs=2|qt=50|ps=0.97|pt=0.9,rolling_03,606,13,8,2022-05-17,2022-07-19,2022-07-19,86c954c2318fe1b55fc3de1f47a295a62ccefb2a6e9db4874af601f6ac0eeffd,1f4f2c9b9b1a9898627a6b744dae606625335b963d8397027c1dc5a4a578b4ac,21.921085,5.585402992,11.706123109967592,12.234021875457897,11.489819674784629,11.8220701594941,2.0,50.0,0.97,0.9,4.973666761026064,5.511659980307867,0.902389983924271,19,10.24690066061225,11.399879116870466,0.898860466463022,0.9006252251936465,False
calibration::rolling_01,qs=0.5|qt=50|ps=0.97|pt=0.9,rolling_01,503,14,1,2021-11-02,2022-03-01,2022-03-01,39aa646abc71af790b5651b8d371ac3c5da9fc850975ea1f0e8eec1efe1ac7db,9400eab919178645d0c73e6bb3aa0c337b1fad589dd35096e9a2f2224f92f670,22.91385913,5.678972235800001,5.097135783515288,5.806703046969975,10.351610131685007,20.352355758613356,0.5,50.0,0.97,0.9,4.969097176401957,5.511659980307867,0.9015609079942548,19,10.261261162120515,11.399879116870466,0.9001201729354366,0.9008405404648456,False
calibration::rolling_01,qs=0.5|qt=50|ps=0.97|pt=0.9,rolling_02,517,89,10,2022-03-01,2022-05-17,2022-05-17,a011adf1e06a16e2d6f28273ea336ab37be80c12dec3b0e8852a9d4368e43686,9f0b166aa2b85e719b5d3dd47396baf087815cb3ef5bd38d5cb403d89810b02a,22.866372036,5.6396890292,3.9662816163369254,4.48333068176607,9.287191938302348,10.166878618597266,0.5,50.0,0.97,0.9,4.969097176401957,5.511659980307867,0.9015609079942548,19,10.261261162120515,11.399879116870466,0.9001201729354366,0.9008405404648456,False
calibration::rolling_01,qs=0.5|qt=50|ps=0.97|pt=0.9,rolling_03,606,13,8,2022-05-17,2022-07-19,2022-07-19,86c954c2318fe1b55fc3de1f47a295a62ccefb2a6e9db4874af601f6ac0eeffd,1f4f2c9b9b1a9898627a6b744dae606625335b963d8397027c1dc5a4a578b4ac,21.921085,5.585402992,11.696639049186667,12.234021875457897,11.467554070697664,11.8220701594941,0.5,50.0,0.97,0.9,4.969097176401957,5.511659980307867,0.9015609079942548,19,10.261261162120515,11.399879116870466,0.9001201729354366,0.9008405404648456,False
calibration::rolling_01,qs=0.5|qt=50|ps=0.99|pt=0.75,rolling_01,503,14,1,2021-11-02,2022-03-01,2022-03-01,39aa646abc71af790b5651b8d371ac3c5da9fc850975ea1f0e8eec1efe1ac7db,9400eab919178645d0c73e6bb3aa0c337b1fad589dd35096e9a2f2224f92f670,22.91385913,5.678972235800001,5.159424505571274,5.806703046969975,10.319674374092173,20.352355758613356,0.5,50.0,0.99,0.75,4.975911450088723,5.511659980307867,0.9027972458146414,19,10.374224603074373,11.399879116870466,0.9100293517781038,0.9064132987963727,False
calibration::rolling_01,qs=0.5|qt=50|ps=0.99|pt=0.75,rolling_02,517,89,10,2022-03-01,2022-05-17,2022-05-17,a011adf1e06a16e2d6f28273ea336ab37be80c12dec3b0e8852a9d4368e43686,9f0b166aa2b85e719b5d3dd47396baf087815cb3ef5bd38d5cb403d89810b02a,22.866372036,5.6396890292,3.9823489416646902,4.48333068176607,9.52162549504784,10.166878618597266,0.5,50.0,0.99,0.75,4.975911450088723,5.511659980307867,0.9027972458146414,19,10.374224603074373,11.399879116870466,0.9100293517781038,0.9064132987963727,False
