design,fold_id,held_out_group,model_id,family,rows,n,mae,rmse,bias,r2
leave_zone_out,leave_zone_out_GEO_NW,GEO_NW,B7_two_regime_imm,imm_damped_acceleration,8,8,2.995384911611249,3.564165099269403,-0.1335379291492702,0.9178232647986921
leave_zone_out,leave_zone_out_GEO_NW,GEO_NW,B5_fixed_kalman,fixed_kalman,8,8,3.3443069782372974,4.082677363177541,-0.6415420549272377,0.8921740288503041
leave_zone_out,leave_zone_out_GEO_NW,GEO_NW,B6_adaptive_kalman,adaptive_kalman,8,8,3.5483807260812146,4.199177724474521,-1.0192529967186337,0.8859325406170141
leave_zone_out,leave_zone_out_GEO_NW,GEO_NW,B1_persistence_last_rate,persistence,8,8,3.845293053214319,4.298103473312663,-1.6457894380555942,0.8804947485896889
leave_zone_out,leave_zone_out_GEO_SE,GEO_SE,B1_persistence_last_rate,persistence,13,13,5.16887152614395,6.508944744987142,3.434866371365217,0.9744060123098738
leave_zone_out,leave_zone_out_GEO_SE,GEO_SE,B6_adaptive_kalman,adaptive_kalman,13,13,5.954824109990266,6.959423841534981,3.8915145724622255,0.9707407385000804
leave_zone_out,leave_zone_out_GEO_SE,GEO_SE,B7_two_regime_imm,imm_damped_acceleration,13,13,6.127502982644481,7.773899448803048,5.133234746880747,0.9634914465920122
leave_zone_out,leave_zone_out_GEO_SE,GEO_SE,B5_fixed_kalman,fixed_kalman,13,13,6.311124152531767,7.546364847401679,3.5643203545908317,0.9655973114354851
leave_zone_out,leave_zone_out_GEO_SW,GEO_SW,B7_two_regime_imm,imm_damped_acceleration,74,74,8.486656347717252,13.805448122796069,-2.6435593538441964,0.92895035041517
leave_zone_out,leave_zone_out_GEO_SW,GEO_SW,B1_persistence_last_rate,persistence,74,74,8.570370694679996,12.363446549379725,-3.8780656738692683,0.943017692127605
leave_zone_out,leave_zone_out_GEO_SW,GEO_SW,B5_fixed_kalman,fixed_kalman,74,74,10.04153171220918,15.874597318686659,-5.087589843501628,0.9060565816613473
leave_zone_out,leave_zone_out_GEO_SW,GEO_SW,B6_adaptive_kalman,adaptive_kalman,74,74,10.667008701353824,17.750134392249294,-5.818192294984523,0.8825469727427251
rolling_origin,rolling_01,,B7_two_regime_imm,imm_damped_acceleration,88,88,6.014953289421122,11.34116677270468,0.5239698014585853,0.8979250769295285
rolling_origin,rolling_01,,B1_persistence_last_rate,persistence,88,88,6.104172770658447,10.470596431765475,1.0242381158204608,0.9129945556349127
rolling_origin,rolling_01,,B6_adaptive_kalman,adaptive_kalman,88,88,6.775352131647585,12.086702282509183,-0.47352421008369583,0.8840637531114188
rolling_origin,rolling_01,,B5_fixed_kalman,fixed_kalman,88,88,7.194351417200139,12.969706758703836,-0.8303176357725094,0.8665053375669348
rolling_origin,rolling_02,,B7_two_regime_imm,imm_damped_acceleration,14,14,5.678024378419135,6.726344490644773,1.5882605961115621,0.9833071679476417
rolling_origin,rolling_02,,B6_adaptive_kalman,adaptive_kalman,14,14,5.888821132752479,6.983151033846553,1.299429151451941,0.9820081971999683
rolling_origin,rolling_02,,B5_fixed_kalman,fixed_kalman,14,14,5.9227762765258065,7.092047683773983,1.356442033634632,0.9814426864481203
rolling_origin,rolling_02,,B1_persistence_last_rate,persistence,14,14,6.880727032397921,7.691310282027418,0.25760706408169626,0.9781740841782356
rolling_origin,rolling_03,,B7_two_regime_imm,imm_damped_acceleration,88,88,5.47881071768291,9.201125150609093,-1.5758918074201953,0.9422300095832601
rolling_origin,rolling_03,,B6_adaptive_kalman,adaptive_kalman,88,88,6.303199292013771,10.269571847785253,-3.2757292959510718,0.9280343760594612
rolling_origin,rolling_03,,B1_persistence_last_rate,persistence,88,88,6.323280435240962,10.43886905509152,-3.336907313288408,0.9256420651715099
rolling_origin,rolling_03,,B5_fixed_kalman,fixed_kalman,88,88,7.371523190947881,13.152955281342745,-3.814325897556418,0.8819496967930456
rolling_origin,rolling_04,,B6_adaptive_kalman,adaptive_kalman,14,14,10.581383129401846,13.922822393105038,-4.170161013240127,0.9067500987777234
rolling_origin,rolling_04,,B1_persistence_last_rate,persistence,14,14,10.596637402124951,13.839011882398884,-4.0937661576734925,0.9078693831980319
rolling_origin,rolling_04,,B5_fixed_kalman,fixed_kalman,14,14,10.981743032382443,14.853741896992013,-3.45782558482865,0.89386330481993
rolling_origin,rolling_04,,B7_two_regime_imm,imm_damped_acceleration,14,14,13.218798790309204,19.27346035282711,1.5401543425452084,0.8213046695894405
rolling_origin,rolling_05,,B7_two_regime_imm,imm_damped_acceleration,14,14,7.446951603015827,11.12506407972079,-1.37761918147585,0.9689294517859033
rolling_origin,rolling_05,,B6_adaptive_kalman,adaptive_kalman,14,14,9.676681459524222,13.25943153454146,-3.973687744805188,0.9558639275276455
rolling_origin,rolling_05,,B1_persistence_last_rate,persistence,14,14,10.663431948897289,14.232002584142826,-3.4748920556982945,0.9491517627818554
rolling_origin,rolling_05,,B5_fixed_kalman,fixed_kalman,14,14,11.380529986668394,17.29337369998463,-6.276510513502889,0.9249236195186648
temporal_holdout,temporal_validation_2024,,B7_two_regime_imm,imm_damped_acceleration,130,130,6.544990086139617,10.744884600866296,-0.8773407739317646,0.9456393173568295
temporal_holdout,temporal_validation_2024,,B1_persistence_last_rate,persistence,130,130,7.31092175130067,11.071272766527729,-3.0461735358418554,0.9422866223175526
temporal_holdout,temporal_validation_2024,,B6_adaptive_kalman,adaptive_kalman,130,130,7.453611564340219,12.046557206038587,-2.894875862058721,0.9316706506420493
temporal_holdout,temporal_validation_2024,,B5_fixed_kalman,fixed_kalman,130,130,8.03603639185759,13.360073223073746,-3.484239968390165,0.9159574797457477
