point_id,profile_id,point_type,feature,value,unit,provenance,standard_uncertainty,donor_distance_m,source_cell_id,model_feature_allowed,source_reference_year
P-H01-REF-A,P-H01,REF,terrain_TRI_relative,,relative,S_REF,,0,,True,2022
P-H01-REF-A,P-H01,REF,terrain_roughness_relative,,relative,S_REF,,0,,True,2022
P-H01-W001,P-H01,WORK,settlement_anchor_map_mm,170.238250682266,mm,R,63.66190012,43.80945923,G050-000226,False,2022
P-H01-W001,P-H01,WORK,kzt,0.595138274469435,1,R,0.07142778158,46.42363487,G050-000226,True,2022
P-H01-W001,P-H01,WORK,ko,0.65,1,D,0.014,0,G050-000226,True,2022
P-H01-W001,P-H01,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-000226,True,2022
P-H01-W001,P-H01,WORK,fill_density,0.851239681243896,1,C/R,0.08,19.51299219,G050-000226,True,2022
P-H01-W001,P-H01,WORK,fault_distance_m,240.0121058111,m,C/R,25,19.51299219,G050-000226,True,2022
P-H01-W001,P-H01,WORK,lithology,carnallite,category,D,,0,G050-000226,True,2022
P-H01-W001,P-H01,WORK,terrain_TRI_relative,,relative,C/R,0.1,19.51299219,G050-000226,True,2022
P-H01-W001,P-H01,WORK,terrain_roughness_relative,,relative,C/R,0.1,19.51299219,G050-000226,True,2022
P-H01-W002,P-H01,WORK,settlement_anchor_map_mm,176.712328767123,mm,D,32.65068493,0,G050-000520,False,2022
P-H01-W002,P-H01,WORK,kzt,0.591620111731844,1,D,0.032,0,G050-000520,True,2022
P-H01-W002,P-H01,WORK,ko,0.644134078212291,1,D,0.014,0,G050-000520,True,2022
P-H01-W002,P-H01,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-000520,True,2022
P-H01-W002,P-H01,WORK,fill_density,0.991735517978668,1,C/R,0.08,22.06130018,G050-000520,True,2022
P-H01-W002,P-H01,WORK,fault_distance_m,84.7280069437425,m,C/R,25,22.06130018,G050-000520,True,2022
P-H01-W002,P-H01,WORK,lithology,carnallite,category,D,,0,G050-000520,True,2022
