cell_id,grid_step_m,full_cell_area_m2,effective_area_m2,effective_area_fraction,x_local_m,y_local_m,settlement_reference_map_mm_raw,settlement_color_distance,settlement_digitized_valid,kzt_digitized,kzt_color_distance,kzt_digitized_valid,ko_digitized,ko_color_distance,ko_digitized_valid,seismic_energy_mid_J_m2_digitized,seismic_color_distance,seismic_digitized_valid,lithology_digitized,lithology_color_distance,lithology_digitized_valid,backfill_hatch_density,backfill_readability,terrain_TRI_relative,terrain_roughness_relative,terrain_digitized_valid,distance_to_reconstructed_fault_m,settlement_reference_map_mm,settlement_provenance,settlement_nearest_source_distance_m,settlement_standard_uncertainty_mm,kzt_reconstructed,kzt_provenance,kzt_nearest_source_distance_m,kzt_standard_uncertainty,ko_reconstructed,ko_provenance,ko_nearest_source_distance_m,ko_standard_uncertainty,seismic_energy_mid_J_m2_reconstructed,seismic_provenance,seismic_nearest_source_distance_m,seismic_standard_uncertainty_J_m2,lithology_reconstructed,lithology_provenance,lithology_nearest_source_distance_m,fault_proximity_0_1,reference_year,reference_date,reference_period_status,source_filename_support,settlement_anchor_id,settlement_anchor_conditioned
G050-004809,50,2500,1466.88353766527,0.586753415066108,24168.8488200019,39265.7443364698,431.963470319634,0.303169531295447,True,0.774860335195531,6,True,0.522905027932961,21.6333076527839,True,22.5,0.460366936544102,True,carnallite,15.9891584796977,True,0.239669427275658,0.834710717201233,0.277777777777778,0.420915032679739,True,211.756067224905,431.963470319634,D,0,36.4794520547945,0.774860335195531,D,0,0.032,0.522905027932961,D,0,0.014,22.5,D,0,1.2,carnallite,D,0,0.546064960560724,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004810,50,2500,92.6778630346234,0.0370711452138494,24150.9267786303,39325,,224.610774452162,False,0.761452513966481,1,True,0.618715083798883,31.8956451562089,True,27.5,66.7915176793433,True,carnallite,15.9891584796977,True,0.363636374473572,0.834710717201233,0.416666666666667,0.711111111111111,True,190.96138709014,497.713874615833,R,34.9775430130176,69.1515826538788,0.761452513966481,D,0,0.032,0.618715083798883,D,0,0.014,27.5,D,0,1.2,carnallite,D,0,0.57949168602393,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004811,50,2500,36.9878945913002,0.0147951578365201,24150.9267786303,39359.977543013,412.328767123287,0.164416763051451,True,0.761452513966481,2.44948974278318,True,0.618715083798883,31.8956451562089,True,,95.1323790839534,False,replacement_rock_salt,74.6253572483539,True,0.454545468091965,0.884297549724579,0.333333333333333,0.50718954248366,True,189.253095842479,412.328767123287,D,0,36.1849315068493,0.761452513966481,D,0,0.032,0.618715083798883,D,0,0.014,26.2825785548787,R,34.9775430130176,2.60986525807811,replacement_rock_salt,D,0,0.5823270013882,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004812,50,2500,1053.36526248284,0.421346104993136,24175,39439.4663473752,530.13698630137,0,True,0.846368715083799,25.7982591081333,True,,14.8071805268832,False,22.5,0.460366936544102,True,carnallite,15.9891584796977,True,0.454545468091965,0.826446294784546,0.494444444444444,0.73202614379085,True,194.880284890169,530.13698630137,D,0,37.9520547945205,0.846368715083799,D,0,0.032,0.59619138189477,R,35.5336526248284,0.030487355683738,22.5,D,0,1.2,carnallite,D,0,0.573039394127437,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004813,50,2500,2500,1,24175,39475,530.13698630137,0,True,0.783798882681564,4.12310562561766,True,0.626536312849162,29.476047398561,True,,106.433473787904,False,carnallite,17.2280736654514,True,0.487603306770325,0.859504103660583,0.327777777777778,0.781699346405229,True,169.826626821738,530.13698630137,D,0,37.9520547945205,0.783798882681564,D,0,0.032,0.626536312849162,D,0,0.014,22.5,R,35.5336526248284,2.61320191574897,carnallite,D,0,0.615562414606605,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004814,50,2500,2500,1,24175,39525,,232.658548091404,False,0.815083798882682,13.8016174895814,True,0.626536312849162,30.4884117755444,True,22.5,43.0929228528305,True,carnallite,12.0830459735946,True,0.471074372529984,0.867768585681915,0.261111111111111,0.426143790849673,True,134.573203351663,1052.34246088736,R,50,82.0468492177473,0.815083798882682,D,0,0.032,0.626536312849162,D,0,0.014,22.5,D,0,1.2,carnallite,D,0,0.680794441293372,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004815,50,2500,2500,1,24175,39575,,235.718051917964,False,0.779329608938548,8.12403840463596,True,0.626536312849162,30.8232487638773,True,22.5,0.460366936544102,True,carnallite,15.9891584796977,True,0.495867758989334,0.925619840621948,0.0333333333333333,0.0522875816993464,True,99.3197798815888,1152.55281131094,R,50,84.0510562262187,0.779329608938548,D,0,0.032,0.626536312849162,D,0,0.014,22.5,D,0,1.2,carnallite,D,0,0.752939198849816,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004816,50,2500,2500,1,24175,39625,,235.718051917964,False,0.792737430167598,6.16441400296898,True,0.618715083798883,30.7797174038393,True,,88.5779425315026,False,carnallite,10.816653826392,True,0.404958665370941,0.851239681243896,0.0333333333333333,0.0954248366013072,True,64.0663564115144,1153.56358633646,R,50,84.0712717267292,0.792737430167598,D,0,0.032,0.618715083798883,D,0,0.014,22.5,R,47.1659670048539,2.68299580202912,carnallite,D,0,0.832729239221715,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004817,50,2500,2216.59670048539,0.886638680194155,24175,39672.1659670049,,230.629573125391,False,0.801675977653631,5.74456264653803,True,0.618715083798883,30.7797174038393,True,22.5,10.877423366788,True,carnallite,15.9891584796977,True,0.239669427275658,0.809917330741882,0.211111111111111,0.367320261437908,True,30.8111202475611,1150.99151426428,R,50,84.0198302852855,0.801675977653631,D,0,0.032,0.618715083798883,D,0,0.014,22.5,D,0,1.2,carnallite,D,0,0.91573178150652,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
G050-004818,50,2500,571.74297235324,0.228697188941296,24175,39744.2825702765,,233.63432966925,False,,113.181270535367,False,0.628491620111732,25.5922917677154,True,17.5,10.8624619485997,True,carnallite,15.9891584796977,True,0.0578512400388718,0.793388426303864,0.183333333333333,0.291503267973856,True,0.628927391477788,1387.16217923112,R,40.7251732968725,87.6302643802471,0.827361785696947,R,30.7174297235324,0.0689147887557652,0.628491620111732,D,0,0.014,17.5,D,0,1.2,carnallite,D,0,0.998204678117592,2022,,year_supported_exact_date_unknown,ОСЕДАНИЯ_2022_СКРУ1,,False
