published_row_id,cell_id,distance_to_anchor_m,conditioned_settlement_mm
PUBROW-03,G050-003075,125.755875573809,281.119
PUBROW-03,G050-003239,132.313049909858,135.743377561145
PUBROW-03,G050-003080,133.14968419335,109.023785777293
PUBROW-03,G050-002818,133.474229722447,185.823923858807
PUBROW-03,G050-002819,136.474796207946,163.81522286777
PUBROW-03,G050-002990,136.986751184192,104.672357981869
PUBROW-03,G050-003160,140.367421230788,265.882486649395
PUBROW-04,G050-004120,246.722635096298,129.157990701492
PUBROW-04,G050-004121,250.974204743424,182.266642791442
PUBROW-04,G050-004197,242.978089548371,105.736708255449
PUBROW-04,G050-004198,203.385943119631,147.228877203276
PUBROW-04,G050-004199,214.516283462188,177.506533462166
PUBROW-04,G050-004200,219.376958680715,192.095070993918
PUBROW-04,G050-004201,235.002659559419,253.040719931856
PUBROW-04,G050-004202,259.473023646004,290.839672329052
PUBROW-04,G050-004279,223.29748877827,117.139257694347
PUBROW-04,G050-004280,201.196333527592,109.758584370368
PUBROW-04,G050-004281,168.500208653545,159.533198498282
PUBROW-04,G050-004282,164.548625032238,172.851336320029
PUBROW-04,G050-004283,170.810567588777,241.131963143791
PUBROW-04,G050-004284,190.463251048595,271.558075370122
PUBROW-04,G050-004285,219.946016103952,297.432946567303
PUBROW-04,G050-004362,255.400121235494,100.002
PUBROW-04,G050-004363,190.863599264176,104.033410800948
PUBROW-04,G050-004364,164.095631180124,151.213951541464
PUBROW-04,G050-004365,121.229658076165,168.302797249064
PUBROW-04,G050-004366,114.569847691266,187.130011352757
PUBROW-04,G050-004367,123.394691944184,247.042112818524
PUBROW-04,G050-004368,149.419710881798,304.108
PUBROW-04,G050-004442,237.232421745226,101.351046925339
PUBROW-04,G050-004443,166.96182198335,119.923160174737
PUBROW-04,G050-004444,135.57502219417,132.514476267043
PUBROW-04,G050-004445,97.0157602783893,202.324372806434
PUBROW-04,G050-004446,88.5532480778093,223.942166521349
PUBROW-04,G050-004447,99.707962295546,265.299590304404
PUBROW-04,G050-004448,130.543777121432,284.328920556204
PUBROW-04,G050-004518,254.413541306276,102.56138592542
PUBROW-04,G050-004519,228.755812881564,125.937648270422
PUBROW-04,G050-004520,158.735912958772,122.857765655384
PUBROW-04,G050-004521,125.371131599337,136.0032062315
PUBROW-04,G050-004522,42.050248673111,218.395949725417
PUBROW-04,G050-004523,14.0656822161813,235.311242914943
PUBROW-04,G050-004524,47.9358260198633,277.901457840616
PUBROW-04,G050-004592,256.468809019732,100.453436903016
PUBROW-04,G050-004593,231.039438034083,107.650315169571
PUBROW-04,G050-004594,160.389339279329,114.512236694146
PUBROW-04,G050-004595,120.584595580454,207.585842283586
PUBROW-04,G050-004596,43.5480091458857,229.580961184252
PUBROW-04,G050-004597,35.5001017219221,259.126847262211
PUBROW-04,G050-004667,194.158461357972,112.049225890172
PUBROW-04,G050-004668,169.078700857957,143.36351977693
PUBROW-04,G050-004669,131.922369674958,155.316185771805
PUBROW-04,G050-004746,211.366389113597,139.620635197944
PUBROW-04,G050-004747,178.592910393432,197.160331208968
PUBROW-04,G050-004827,241.093861390123,163.862764334365
PUBROW-04,G050-004828,212.945831600142,212.943446808172
PUBROW-05,G050-004286,247.190715845074,185.031927647183
PUBROW-05,G050-004369,180.036801793411,130.131317669779
PUBROW-05,G050-004370,205.166395883927,152.930008216352
PUBROW-05,G050-004371,228.80823151,205.768862237034
PUBROW-05,G050-004449,156.5046940526,180.110780413152
PUBROW-05,G050-004450,184.861351451563,157.170653358411
PUBROW-05,G050-004451,210.792969681704,222.385306808524
PUBROW-05,G050-004525,67.6913482582725,110.081913872285
PUBROW-05,G050-004526,96.2399014391797,148.810546115072
PUBROW-05,G050-004527,137.630369573809,161.530020343868
PUBROW-05,G050-004528,170.886147582994,211.20865104932
PUBROW-05,G050-004529,239.272921106509,304.108
PUBROW-05,G050-004598,31.9882791034434,101.395159567359
PUBROW-05,G050-004599,26.5188612123538,140.945947206366
PUBROW-05,G050-004600,73.3706344527589,245.892948031263
PUBROW-05,G050-004601,122.732432551468,277.352940616492
PUBROW-05,G050-004602,159.132670456868,264.499140186688
PUBROW-05,G050-004603,232.784723673879,297.290365680253
PUBROW-05,G050-004670,82.074775882326,100.468088499024
PUBROW-05,G050-004671,44.869254506844,102.645440427435
PUBROW-05,G050-004672,41.1491190671225,112.449032170898
PUBROW-05,G050-004673,79.8326374360795,166.005809175387
PUBROW-05,G050-004674,126.701420670807,258.206206244644
PUBROW-05,G050-004675,162.213460621289,270.881686038298
PUBROW-05,G050-004748,112.810765603883,117.709329787542
PUBROW-05,G050-004749,89.4608853074911,105.926075716643
PUBROW-05,G050-004750,87.6541499302821,126.802793029185
PUBROW-05,G050-004751,111.190152441665,175.298157639567
PUBROW-05,G050-004752,148.469693877239,216.747892005248
PUBROW-05,G050-004753,179.730928909675,252.003819244586
PUBROW-05,G050-004829,154.000872842118,104.166216847634
PUBROW-05,G050-004830,137.816000522437,120.586506844655
PUBROW-05,G050-004831,136.650100621992,137.206741139117
PUBROW-05,G050-004832,152.817701854205,170.595863849926
PUBROW-05,G050-004833,181.750515817703,239.874597400075
PUBROW-05,G050-004834,208.070196824857,290.558111775658
PUBROW-05,G050-004912,257.192685310227,100.002
PUBROW-05,G050-004913,199.26431902409,107.903362788259
PUBROW-05,G050-004914,187.038097723433,123.619530118605
PUBROW-05,G050-004915,186.180691802347,144.81490971573
PUBROW-05,G050-004916,198.351329715737,190.05989084592
PUBROW-05,G050-004917,221.4119463805,233.949810431673
PUBROW-05,G050-004918,243.481430106558,283.912030782129
PUBROW-05,G050-004996,224.113514152313,114.994383008862
PUBROW-05,G050-004997,214.74946249083,133.600643342077
PUBROW-05,G050-004998,215.563586412464,195.193049145513
PUBROW-05,G050-004999,227.646455701324,200.429861919579
PUBROW-05,G050-005000,249.365351761658,228.119671046732
PUBROW-06,G050-005994,252.817819783338,375.633781641966
PUBROW-06,G050-005995,248.207272254461,362.541083094627
PUBROW-06,G050-005996,253.56823539237,271.045486872062
PUBROW-06,G050-006100,237.424903413712,337.480703742047
