training_campaigns,training_rows,model_id,family,audit_target_date,audit_rows,hyperparameters_retuned,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction
9,423,B5_fixed_kalman,fixed_kalman,2023-11-07,88,False,88,7.194351417200139,4.096651250384224,12.969706758703834,-0.8303176357725096,0.8303176357725096,12.69544292525629,26.857107389041722,73.30311679054536,0.8665053375669348,6.11768310604861,10.584408129281778,6.104172770658447,-0.17859564063814903,1.0666231698199433,True,0.5795454545454546,0.625
9,423,B6_adaptive_kalman,adaptive_kalman,2023-11-07,88,False,88,6.7697654738219315,4.158880500055598,12.07123615190452,-0.46542145052053113,0.46542145052053113,12.099240524056649,21.089769769784592,72.7063263488858,0.884360267061949,5.883179473101243,10.03418893719058,6.104172770658447,-0.1090389686155111,1.0036747289494663,True,0.5909090909090909,0.625
9,423,B7_two_regime_imm,imm_damped_acceleration,2023-11-07,88,False,88,6.015032139526932,3.583877036720498,11.340380768256987,0.5250746874470678,0.5250746874470678,11.096986514609677,20.02983025753636,75.19019919345143,0.8979392251322497,5.412436981927691,9.640563058067462,6.104172770658447,0.014603228722489092,0.8917791577281485,True,0.6136363636363636,0.625
9,423,B8_student_t_robust_imm,imm_student_t_robust_observation,2023-11-07,88,False,88,5.83151260123883,3.579772082232585,10.947076372389832,0.3166794961389288,0.3166794961389288,10.740878208904597,16.775745414056285,75.03578142929929,0.9048957590846146,5.22329543558746,9.257671869425852,6.104172770658447,0.044667832917547945,0.8645708410500446,True,0.625,0.625
9,423,M1_ridge,ridge,2023-11-07,88,False,88,6.709141286703635,4.309399845898913,11.619392366610116,-0.37925888311325867,0.37925888311325867,13.093028204428906,16.366204686040774,71.5355979191863,0.8928553668323389,6.138751814491531,10.206155151307943,6.104172770658447,-0.09910737110082324,0.9946866827890746,True,0.5795454545454546,0.625
9,423,M2_extra_trees,extra_trees,2023-11-07,88,False,88,6.509681350130804,4.4625730152955025,10.974760347518435,0.886997264440824,0.886997264440824,13.059633076210407,21.706771500280514,67.52615448761784,0.9044141341348567,6.302725297557314,10.153595088479046,6.104172770658447,-0.06643137321105264,0.9651150678564537,True,0.625,0.625
14,708,B1_persistence_last_rate,persistence,2023-11-07,88,False,88,6.104172770658447,4.65818584571435,10.470596431765474,1.0242381158204608,1.0242381158204608,11.010434436428532,14.342378433642907,71.02960179557142,0.9129945556349127,5.788317097879457,9.446109430848567,6.104172770658447,0.0,0.9324306914189557,True,0.625,0.625
14,708,B3_profile_robust_trend,profile_robust_trend,2023-11-07,88,False,88,8.456329059266038,5.804035871862555,13.549693823912293,-0.5728712755495565,0.5728712755495565,17.360155175429448,25.157148458571346,72.54711741184246,0.8542989937320619,7.861553516608961,12.3875633213675,6.104172770658447,-0.3853357984744372,1.2917296164189507,True,0.5568181818181818,0.625
14,708,B5_fixed_kalman,fixed_kalman,2023-11-07,88,False,88,7.194351417200139,4.096651250384224,12.969706758703834,-0.8303176357725096,0.8303176357725096,12.69544292525629,26.857107389041722,73.30311679054536,0.8665053375669348,6.11768310604861,10.584408129281778,6.104172770658447,-0.17859564063814903,1.0989587481035965,True,0.5795454545454546,0.625
14,708,B6_adaptive_kalman,adaptive_kalman,2023-11-07,88,False,88,6.7703216033847475,4.15860721497106,12.072327743146028,-0.4652632670003847,0.4652632670003847,12.090658311055797,21.100570114508013,72.72486926129872,0.8843393517181433,5.88294097000804,10.03440694826945,6.104172770658447,-0.10913007507394701,1.0341869227747589,True,0.5909090909090909,0.625
