design,model_id,dimension,segment,origins,points,profiles,zones,support_status,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,direction_accuracy,direction_neutral_fraction
train_rolling_origin,B6_adaptive_kalman,target_date,2023-07-25,14,14,2,2,DESCRIPTIVE_LOW_SUPPORT,13.96899709779214,6.205386230274652,21.097649834111937,-12.787220198660435,12.787220198660435,41.07465769050183,45.094284648336675,49.23695531807128,0.7087651165746536,,,,,,,
train_rolling_origin,B6_adaptive_kalman,target_date,2023-11-07,88,88,14,4,ELIGIBLE_SUPPORT,6.775352131647586,4.153404953874005,12.086702282509183,-0.4735242100836958,0.4735242100836958,12.107868293150585,21.17694536690008,72.7348537186897,0.8840637531114188,,,,,,,
train_rolling_origin,B6_adaptive_kalman,transition,accelerating,46,29,9,3,ELIGIBLE_SUPPORT,15.29018890947259,9.798947649711408,20.718669504407334,-11.93087063322079,11.93087063322079,37.30991607441983,40.92655644114613,49.23695531807128,0.8087407696627767,,,,,,,
train_rolling_origin,B6_adaptive_kalman,transition,decelerating,23,21,7,4,ELIGIBLE_SUPPORT,10.927488219408659,5.450106512498593,23.721759989661233,-5.407150899260566,5.407150899260566,13.49388464228419,15.742801617971033,107.84438385490395,0.44075959668474674,,,,,,,
train_rolling_origin,B6_adaptive_kalman,transition,stable,198,80,14,4,ELIGIBLE_SUPPORT,4.104708448015645,3.548101113182259,5.120874844353219,0.875999208339979,0.875999208339979,7.7632496447445885,9.651518367540232,17.98269714390355,0.9028424240438246,,,,,,,
train_rolling_origin,B6_adaptive_kalman,transition,volatile_or_gap,25,23,11,3,ELIGIBLE_SUPPORT,8.240444136141072,3.1909344183854245,16.63714861987188,-1.6116715258915777,1.6116715258915777,16.02441536131856,24.41523955010908,72.7348537186897,0.7057580524083099,,,,,,,
train_rolling_origin,B6_adaptive_kalman,uncertainty,high,113,78,12,4,ELIGIBLE_SUPPORT,6.035314390802214,3.541798586083175,11.074106916889878,-0.8862074049383618,0.8862074049383618,10.14899687042649,23.911747323739007,72.7348537186897,0.8332684660413563,,,,,,,
train_rolling_origin,B6_adaptive_kalman,uncertainty,low,94,57,12,4,ELIGIBLE_SUPPORT,5.494554091851771,4.078642602237311,8.635062272684122,-0.508789058228078,0.508789058228078,10.771109504874765,14.554479995830606,49.23695531807128,0.9279419294455666,,,,,,,
train_rolling_origin,B6_adaptive_kalman,uncertainty,middle,85,49,10,4,ELIGIBLE_SUPPORT,9.117008049388776,5.126051650225815,16.780209710628696,-4.612480664419397,4.612480664419397,21.814993810239116,28.309967592596646,107.84438385490395,0.775623121135569,,,,,,,
train_rolling_origin,B6_adaptive_kalman,worst_10_percent_points,top_mean_absolute_error,34,10,6,3,ELIGIBLE_SUPPORT,24.85771856001849,21.70269391989509,32.80048086534126,-23.424608652199034,23.424608652199034,42.59110530753255,57.46121975828768,107.84438385490395,0.28151735864992833,,,,,,,
train_rolling_origin,B6_adaptive_kalman,worst_profile,P-H04,20,7,1,1,DESCRIPTIVE_LOW_SUPPORT,17.652254786745715,6.401634991467684,32.05384864257902,-11.71127171248715,11.71127171248715,41.22095446928021,74.49033022550044,107.84438385490395,0.18345775170879386,,,,,,,
