task,split,feature,rows,missing_count,missing_fraction
T5,validation,current_campaign_type,211,0,0.0
T5,validation,missing_campaigns_since_previous,211,0,0.0
T5,validation,profile_mean_settlement_mm,211,0,0.0
T5,validation,profile_mean_rate_mm_y,211,0,0.0
T5,validation,profile_rate_std_mm_y,211,0,0.0
T5,validation,profile_n_observed,211,0,0.0
T5,validation,chainage_m,211,0,0.0
T5,validation,chainage_normalized_profile,211,0,0.0
T5,validation,kzt,211,0,0.0
T5,validation,kzt__standard_uncertainty,211,0,0.0
T5,validation,kzt__donor_distance_m,211,0,0.0
T5,validation,kzt__provenance,211,0,0.0
T5,validation,ko,211,0,0.0
T5,validation,ko__standard_uncertainty,211,0,0.0
T5,validation,ko__donor_distance_m,211,0,0.0
T5,validation,ko__provenance,211,0,0.0
T5,validation,seismic_energy_J_m2,211,0,0.0
T5,validation,seismic_energy_J_m2__standard_uncertainty,211,0,0.0
T5,validation,seismic_energy_J_m2__donor_distance_m,211,0,0.0
T5,validation,seismic_energy_J_m2__provenance,211,0,0.0
T5,validation,fill_density,211,0,0.0
T5,validation,fill_density__standard_uncertainty,211,0,0.0
T5,validation,fill_density__donor_distance_m,211,0,0.0
T5,validation,fill_density__provenance,211,0,0.0
T5,validation,fault_distance_m,211,0,0.0
T5,validation,fault_distance_m__standard_uncertainty,211,0,0.0
T5,validation,fault_distance_m__donor_distance_m,211,0,0.0
T5,validation,fault_distance_m__provenance,211,0,0.0
T5,validation,lithology,211,0,0.0
T5,validation,lithology__standard_uncertainty,211,211,1.0
T5,validation,lithology__donor_distance_m,211,0,0.0
T5,validation,lithology__provenance,211,0,0.0
T5,validation,terrain_TRI_relative,211,72,0.3412322274881517
T5,validation,terrain_TRI_relative__standard_uncertainty,211,0,0.0
T5,validation,terrain_TRI_relative__donor_distance_m,211,0,0.0
T5,validation,terrain_TRI_relative__provenance,211,0,0.0
T5,validation,terrain_roughness_relative,211,72,0.3412322274881517
T5,validation,terrain_roughness_relative__standard_uncertainty,211,0,0.0
T5,validation,terrain_roughness_relative__donor_distance_m,211,0,0.0
T5,validation,terrain_roughness_relative__provenance,211,0,0.0
T5,validation,target_campaign_type,211,0,0.0
T5,test_complete,n_history,28,0,0.0
T5,test_complete,last_settlement_mm,28,0,0.0
T5,test_complete,last_rate_mm_y,28,0,0.0
T5,test_complete,mean_last_3_rates_mm_y,28,0,0.0
T5,test_complete,std_last_3_rates_mm_y,28,0,0.0
T5,test_complete,recent_acceleration_mm_y2,28,0,0.0
T5,test_complete,current_standard_uncertainty_mm,28,0,0.0
T5,test_complete,days_since_previous_observation,28,0,0.0
T5,test_complete,forecast_horizon_days,28,0,0.0
T5,test_complete,current_campaign_type,28,0,0.0
T5,test_complete,missing_campaigns_since_previous,28,0,0.0
T5,test_complete,profile_mean_settlement_mm,28,0,0.0
T5,test_complete,profile_mean_rate_mm_y,28,0,0.0
T5,test_complete,profile_rate_std_mm_y,28,0,0.0
T5,test_complete,profile_n_observed,28,0,0.0
T5,test_complete,chainage_m,28,0,0.0
T5,test_complete,chainage_normalized_profile,28,0,0.0
T5,test_complete,kzt,28,0,0.0
T5,test_complete,kzt__standard_uncertainty,28,0,0.0
T5,test_complete,kzt__donor_distance_m,28,0,0.0
T5,test_complete,kzt__provenance,28,0,0.0
T5,test_complete,ko,28,0,0.0
T5,test_complete,ko__standard_uncertainty,28,0,0.0
T5,test_complete,ko__donor_distance_m,28,0,0.0
T5,test_complete,ko__provenance,28,0,0.0
T5,test_complete,seismic_energy_J_m2,28,0,0.0
T5,test_complete,seismic_energy_J_m2__standard_uncertainty,28,0,0.0
