scope,seed,fold_id,rows,crps,nll,coverage_50,mean_width_50,median_width_50,interval_score_50,coverage_80,mean_width_80,median_width_80,interval_score_80,coverage_95,mean_width_95,median_width_95,interval_score_95,mean_interval_width,median_interval_width,mean_interval_score
fold_seed,42117,rolling_origin_2023-11-07,88,6.6296702635796185,3.693874890722048,0.32954545454545453,8.296705504370834,5.486374452387544,29.811377468226127,0.6363636363636364,18.08155835601272,11.738584433001998,43.83282704948693,0.875,36.57445435791152,22.65423560908455,85.15979483815096,20.98423940609836,12.2877176868718,52.93466645195468
fold_seed,42118,rolling_origin_2021-05-18,84,3.0131474372131306,3.1199877859680405,0.34523809523809523,4.7625757364211285,4.628628142244631,13.547304664568555,0.6785714285714286,9.845905823499754,9.560804528787017,19.41958681093896,0.9285714285714286,17.783766963373832,17.28122845034505,34.805711569200334,10.797416174431572,9.560804528787017,22.590867681569282
fold_seed,42118,rolling_origin_2021-07-13,12,3.548132121110953,3.3522940165013626,0.16666666666666666,5.539313456284609,5.725417439048261,16.104676465199287,0.75,11.453811843976064,11.841503148857697,19.66190489413454,1.0,20.695762724040843,21.406855814589345,20.695762724040843,12.562962674767173,11.841503148857697,18.820781361124887
fold_seed,42118,rolling_origin_2021-11-02,91,5.102626728970527,3.607648539208953,0.3076923076923077,5.236216136880944,5.164864194715378,22.21201293199649,0.6923076923076923,10.800922723550856,10.652387222599344,39.737375274220085,0.8681318681318682,19.41937034319715,19.1595903385383,95.47351275325855,11.81883640120965,10.652387222599344,52.47430031982505
fold_seed,42118,rolling_origin_2022-03-01,14,8.355431867612632,4.173868559014422,0.2857142857142857,5.868654283812196,5.605545555272762,36.768282614299906,0.35714285714285715,12.312093204741554,11.844996865827191,67.75154415468269,0.8571428571428571,22.92705440030648,22.083552080813835,180.13806319863502,13.702600629620076,11.844996865827191,94.88596332253921
fold_seed,42118,rolling_origin_2022-05-17,89,5.096391649507821,3.511984304147618,0.4044943820224719,6.896736095714117,6.875737417744785,22.573548395827586,0.7640449438202247,14.63314821188875,14.60071960249276,37.39207104297351,0.9213483146067416,27.897941817848324,27.820664206411507,83.35927061166957,16.475942041817067,14.60071960249276,47.77496335015688
fold_seed,42118,rolling_origin_2022-07-19,13,11.345290860940075,5.279404165555099,0.23076923076923078,6.294994466072554,6.216758571941199,49.40092439734245,0.46153846153846156,13.3612935032448,13.167390606494038,96.1295413920331,0.46153846153846156,25.492184999612977,25.010970232559835,230.1627398627617,15.049490989643445,13.167390606494038,125.23106855071241
fold_seed,42118,rolling_origin_2022-10-18,90,6.269003641775056,3.5482905128333018,0.45555555555555555,7.107325570345902,6.756844058835149,27.492666286350616,0.7777777777777778,15.034946373337853,14.310502884640034,49.97464093868654,0.9,28.49035828154239,27.208737508446113,117.59320588238351,16.877543408408716,14.411799961223771,65.02017103580688
fold_seed,42118,rolling_origin_2023-01-17,12,9.297058745902742,4.010869054891171,0.4166666666666667,10.056972128278183,6.570458029982781,42.97969485733875,0.4166666666666667,21.57377378611494,14.034147361970474,62.194030753300574,0.8333333333333334,42.10043277590635,27.132188113622924,90.48557826002838,24.577059563433156,16.037446842675514,65.21976795688921
fold_seed,42118,rolling_origin_2023-05-16,88,5.347955740283799,3.462678057534014,0.3068181818181818,6.452488164315409,5.293134094514855,24.339725240299348,0.6136363636363636,14.019333598126128,11.453038328968539,35.63593251865593,0.9318181818181818,28.110922461605107,22.70113016821801,48.96481399210941,16.194248074682214,11.940182614075418,36.313490583688235
fold_seed,42118,rolling_origin_2023-07-25,14,14.270142457877451,4.295355283255285,0.35714285714285715,9.784529280362133,5.683626665081615,64.11353034105312,0.5,21.287451069537358,12.243190896077254,113.42331537638971,0.8571428571428571,42.8149143693359,24.12482472528768,165.5536210452614,24.6289649064118,16.77024886883445,114.36348892090139
fold_seed,42118,rolling_origin_2023-11-07,88,6.935559967840184,3.711306795777136,0.2840909090909091,9.106739301568263,5.3319986180346195,31.290292309585467,0.6363636363636364,19.701773426790226,11.415389790172199,43.49136113007094,0.9090909090909091,39.16811785982511,22.210532743587528,81.04618285733109,22.658876862727862,11.865108353850989,51.94261209899583
fold_seed,42119,rolling_origin_2021-05-18,84,3.0134865535037627,3.124026115238838,0.35714285714285715,5.098721950080369,4.979030648029433,13.483296125760178,0.7261904761904762,10.60447548956346,10.35544548180587,19.20720187686994,0.9404761904761905,19.39419731315489,18.964355912775574,33.461438394203526,11.699131584266244,10.35544548180587,22.05064546561122
