model_id,family,aggregation,seed,fold_id,target_date,rows,fit_seconds,inference_seconds,peak_ram_mb,peak_vram_mb,parameter_count,epoch_count,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction,b1_fold_mae,fold_mae_ratio_vs_b1
C01_compact_gru,gated_recurrent_unit,single_seed,42119,rolling_origin_2023-01-17,2023-01-17,12,6.728231499902904,0.0015124001074582,1779.19921875,85.3193359375,2897,126,12,5.784387816940229,4.207179688421689,8.535307073610923,-1.847030564623175,1.847030564623175,9.042402882208854,16.23452721986376,24.77580856273523,0.9404727282749039,5.646700724866656,8.44083136839355,8.344330682014652,0.3067882808853821,0.9326857312577271,True,0.6666666666666666,0.5833333333333334,8.344330682014652,0.6932117191146179
C01_compact_gru,gated_recurrent_unit,single_seed,42119,rolling_origin_2023-05-16,2023-05-16,88,8.43530309991911,0.0009477999992668,1780.87109375,76.27001953125,1265,174,88,6.846069867331804,5.669728654096332,9.136878631287274,-0.2538053217821217,0.2538053217821217,12.86933553316188,15.069453044857465,38.58852519436744,0.8969251831902793,6.931552108806097,9.241481042472238,6.278201475220701,-0.09045080734544908,1.0964824206028623,True,0.375,0.48863636363636365,6.278201475220701,1.090450807345449
C01_compact_gru,gated_recurrent_unit,single_seed,42119,rolling_origin_2023-07-25,2023-07-25,14,10.730879299924707,0.0010785000631585,1782.296875,76.10009765625,1265,193,14,9.530795670760295,5.001332649547162,15.595768630568967,-9.457294178781982,9.457294178781982,21.07522546177894,32.99804849982639,48.44489385222769,0.8408565385354905,9.62452496161005,15.79081622938586,13.514482114265329,0.2947716686309436,1.5276140506044527,True,0.7857142857142857,0.6428571428571429,13.514482114265329,0.7052283313690564
C01_compact_gru,gated_recurrent_unit,single_seed,42119,rolling_origin_2023-11-07,2023-11-07,88,3.4092726999660954,0.00098670006264,1782.01171875,86.46044921875,10401,56,88,6.688174688429776,4.5279663448095775,11.36541328744471,1.8995540055730984,1.8995540055730984,12.666729100195623,13.952779879302307,74.06158169909726,0.897488154201606,6.520715552340905,10.308132330303666,6.104172770658446,-0.09567257345311608,1.0366578786563787,True,0.6136363636363636,0.625,6.104172770658446,1.095672573453116
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2021-05-18,2021-05-18,84,1.0930146999889985,0.0009717000066302,1773.359375,84.9501953125,2897,40,84,4.337277946419081,3.5071723303131135,5.902510182327339,-2.4234294658728457,2.4234294658728457,7.414986513412327,10.7229016655075,23.48119905688838,0.8572585391837203,4.481291710618074,6.075519102299925,4.847109727074055,0.10518263653229332,0.5536194547716771,True,0.5595238095238095,0.5,4.847109727074055,0.8948173634677067
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2021-07-13,2021-07-13,12,1.9376330000231972,0.0009807999595068,1774.828125,75.81689453125,1265,67,12,4.592634551043679,4.244278135322061,5.286590313104419,-1.0115875855080891,1.0115875855080891,8.079223266905293,8.658349147359825,9.340608041835585,0.792551683111366,4.592634551043678,5.286590313104419,6.930570676489801,0.3373367410243685,0.7640140092844467,True,1.0,1.0,6.930570676489801,0.6626632589756315
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2021-11-02,2021-11-02,91,3.355075499974191,0.0044705000473186,1777.24609375,78.05810546875,4065,67,91,6.828320717558072,4.309091815248827,12.290295561722731,-1.137598270190138,1.137598270190138,10.802551960248366,18.726745831629653,70.3525456376326,0.5516302338523283,7.158503674845034,12.79740440106846,6.097705185018902,-0.11981811359692784,1.133047395542814,True,0.5824175824175825,0.5824175824175825,6.097705185018902,1.1198181135969278
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2022-03-01,2022-03-01,14,1.4396161999902688,0.0013564999680966,1775.79296875,76.94384765625,4065,21,14,10.742063355496155,6.808641893134453,17.753015509536638,-3.273415014916306,3.273415014916306,18.244871902329034,34.69592102189709,58.71509028687754,0.6121376214816676,11.155310650069797,18.34471791602244,5.806703046969976,-0.849941915163291,1.7729484641347406,True,0.5714285714285714,0.6428571428571429,5.806703046969976,1.849941915163291
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2022-05-17,2022-05-17,89,3.1405311999842525,0.0011673000408336,1777.140625,86.66015625,10401,75,89,5.189520388710782,3.16100767629845,7.407044198383681,-1.063392526903991,1.063392526903991,10.631496592227977,16.104118450854234,29.1641606415644,0.8378702337060295,4.537904659806221,6.436919537103621,4.483330681766071,-0.15751452593421655,0.8577880631201577,True,0.651685393258427,0.6629213483146067,4.483330681766071,1.1575145259342166
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2022-07-19,2022-07-19,13,4.341124799917452,0.0010161000536754,1777.90234375,86.72265625,10401,87,13,13.877722649096897,14.274617016211081,17.70449347742577,4.681661563194987,4.681661563194987,26.61531992256636,32.771916323280934,40.39649628798736,0.27830230380729626,13.8777226490969,17.70449347742577,12.234021875457897,-0.13435489901618958,2.4058322782609736,True,0.5384615384615384,0.5384615384615384,12.234021875457897,1.1343548990161896
C01_compact_gru,gated_recurrent_unit,single_seed,42120,rolling_origin_2022-10-18,2022-10-18,90,5.647280300036073,0.0013320000143721,1777.69921875,86.72998046875,10401,119,90,7.184653809247013,4.305309254302472,14.814579602299647,-0.3082865096442997,0.3082865096442997,12.109127715336218,18.1300967364944,117.0025015800955,0.6929520921998338,6.545138352853076,11.491761833518455,7.683236611748699,0.06489228793751911,1.2089718969651135,True,0.6222222222222222,0.6111111111111112,7.683236611748699,0.9351077120624809
