model_id,family,rolling_folds,pooled_rows,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction,median_fold_mae,iqr_fold_mae,min_fold_mae,max_fold_mae,fold_mae_range,max_fold_mae_ratio_vs_b1,equal_profile_macro_mae,equal_zone_macro_mae,worst_profile_mae,worst_zone_mae,worst_10_percent_points_mae,fit_seconds_total,inference_seconds_total,peak_ram_mb_max,peak_vram_mb_max,pooled_mae_ratio_vs_b1,median_fold_mae_ratio_vs_b1
B5_fixed_kalman,fixed_kalman,11,595,595,6.300812393074239,3.848139598653713,11.296752807343022,-1.1636374186466016,1.1636374186466016,12.231930145952584,21.420683210430195,106.41164041365701,0.8111714390615254,,,6.310996203736419,0.0016136613513015874,,False,0.5882352941176471,0.5899159663865546,6.197870563078801,3.341405234479442,4.60192555021983,15.223816439317753,10.621890889097923,1.1892841222388846,5.843456862917884,5.585767715232425,11.498213178525152,8.70761814896097,20.91304285743906,0.005683999988831999,0.9430383000144498,193.859375,0.0,0.9983863386486984,0.9872047890691378
B1_persistence_last_rate,persistence,11,595,595,6.310996203736419,4.55294393357142,10.809518679762842,-0.774809358754427,0.774809358754427,12.562219546118369,17.87169358683277,121.51962832417566,0.8271086980939628,,,6.310996203736419,0.0,,False,0.5899159663865546,0.5899159663865546,6.2782014752207,2.0615795308872364,4.48333068176607,13.514482114265329,9.031151432499259,1.0,5.921542866904799,5.686534878019265,12.301350466930648,8.355437220998958,17.48680261163005,0.005856599978869301,0.0004765000194311142,193.08984375,0.0,1.0,1.0
Z02_huber,huber,11,595,595,6.317564964652271,3.9855681877567193,10.759995518791612,-2.5235122527271914,2.5235122527271914,12.23050088230844,19.420521346127757,101.79372392458659,0.8286892514192006,,,6.310996203736419,-0.001040843743807418,,False,0.611764705882353,0.5899159663865546,6.530996160551052,2.311467677280973,4.631484444597037,13.215320325844264,8.583835881247227,1.3942182274887336,5.845359816307707,5.437996894385378,11.467547811546494,8.807385735192128,19.276757189994505,0.912872100016102,0.1427072000078619,193.98828125,0.0,1.0010408437438074,1.0402654623825154
Z05_gaussian_gee,gaussian_gee,11,595,595,6.338309250270569,4.152159837448515,10.759387649366221,-0.534228526911501,0.534228526911501,11.902079475898912,19.519318536832735,96.99280881804918,0.8287086067478641,,,6.310996203736419,-0.0043278502557140275,,False,0.6050420168067226,0.5899159663865546,6.7643592737962495,2.518620922627967,4.466091903262581,14.848526280888807,10.382434377626225,1.2297241147416036,5.9144269034699315,5.618279294860107,12.24589094681536,8.474453981991346,18.330692524577408,0.5712682000303171,0.0845820000104135,214.4921875,0.0,1.004327850255714,1.077435838988977
Z10_catboost,catboost,11,595,595,6.397916977845938,3.730660164323943,11.561692665034832,-1.5015912508190938,1.5015912508190938,12.389918044857776,21.73658897281208,109.51343272564984,0.8022104814545082,,,6.310996203736419,-0.013772908634940517,,False,0.6050420168067226,0.5899159663865546,7.344836959961367,2.5723924997849252,4.384709392294222,14.330492703306149,9.945783311011926,1.3506601412339816,5.910436581189897,5.671927225669973,11.31952365956591,8.972465724767044,21.39065740669223,110.2587822000205,0.2559007999661839,217.34375,0.0,1.0137729086349405,1.1698950708973817
Z03_rbf_svr,rbf_svr,11,595,595,6.490079061482766,4.000245546035012,11.815800134725142,-2.2067525537524073,2.2067525537524073,12.424210175816322,21.086153983823156,103.88490482364648,0.7934207461776561,,,6.310996203736419,-0.028376321576666585,,False,0.6067226890756302,0.5899159663865546,7.333711113519639,3.3280514177356206,4.849175651320074,13.322839301015556,8.473663649695482,1.8462475340045033,5.997112681513532,5.6836205745508135,12.587729589039288,8.852026569027249,21.757585302719555,0.1847129999950987,0.06300970001029729,193.46484375,0.0,1.0283763215766666,1.168122931776705
Z07_quantile_hist_gradient_boosting,quantile_hist_gradient_boosting,11,595,595,6.562835657059351,3.5165378671219756,12.550801357275958,-2.248832946758386,2.248832946758386,12.43704158329728,25.945014430395474,104.59872349702161,0.7669208938390457,,,6.310996203736419,-0.03990486528479131,,False,0.6067226890756302,0.5899159663865546,7.447444640851709,5.215128879024292,4.0273442091766425,13.76442067960012,9.737076470423478,1.6077076379020643,6.003035557845601,5.553134553327288,14.382371783494884,9.745504154731268,25.271587756967314,41.56259319999663,0.812444399998639,209.66796875,0.0,1.0399048652847913,1.1862385541856009
Z04_gaussian_process,gaussian_process,11,595,595,6.56835311820794,4.086669040987946,12.005010744631301,-1.5772436705724424,1.5772436705724424,12.192221467457362,23.481304911637004,119.06480428918782,0.7867517194389716,,,6.310996203736419,-0.040779126807136024,,False,0.6168067226890757,0.5899159663865546,7.110387076546331,3.590383733167263,3.866301183777345,13.886701634198563,10.020400450421217,1.4530586314964882,6.062570788564708,5.57431120516054,12.51774976154858,9.42232988933998,23.225139384938412,141.40493669999705,0.0689749000157457,555.96875,0.0,1.040779126807136,1.1325515921415021
Z11_ebm,explainable_boosting_machine,11,595,595,6.610876398249721,4.247478688495505,10.997684899800847,-1.1679172743354704,1.1679172743354704,13.568963290843465,20.28351454393171,100.57183883263328,0.8210371132172356,,,6.310996203736419,-0.04751709315492203,,False,0.5865546218487395,0.5899159663865546,7.097476002267321,2.3055709248241048,3.107970171552781,14.141165365675382,11.033195194122602,1.4603763967618912,6.095932003279855,6.057029122741422,12.712070596158206,9.134930186446558,19.3563112886595,164.49164000005112,0.1481863000080916,193.16015625,0.0,1.047517093154922,1.130495099636448
Z14_enfs_replica,protocol_safe_enfs_replica,11,595,595,7.143215630930394,5.080065081298514,11.43564559513848,-0.4938694269656868,0.4938694269656868,14.176569169681839,19.879120331215056,120.42516902890283,0.8064996267624647,,,6.310996203736419,-0.13186815525277296,,False,0.5394957983193277,0.5899159663865546,8.261711207131697,3.138025900964429,5.120300036265987,11.128471920473727,6.00817188420774,1.4543558822705358,6.728127025610371,6.501404001427449,13.318051452980178,9.358358441492099,18.161476161060882,1255.8199981000216,0.0780701000185213,1642.0234375,64.787109375,1.131868155252773,1.3159359793946832
Z13_residual_mlp,residual_mlp,11,595,595,7.267549150348917,5.1275533758594385,11.361991794785464,-1.7652820330350198,1.7652820330350198,14.501573963810683,19.318776172072354,102.52635363545497,0.8089841635631555,,,6.310996203736419,-0.1515692476642867,,False,0.5394957983193277,0.5899159663865546,8.125030402973325,3.718579781903319,4.805570073218214,14.930533437008384,10.124963363790169,1.9238243915078106,6.903803508372126,6.867195633611869,12.143986631759859,9.002124531999446,18.238558497729592,36.67171499998949,0.0715980000386473,1436.10546875,64.158203125,1.1515692476642867,1.294165285240022
B3_profile_robust_trend,profile_robust_trend,11,595,595,7.301072800200885,4.90090176801975,12.469828940240049,-2.298064544039596,2.298064544039596,14.306440263980708,24.05072825912678,120.55704738930338,0.769918646388378,,,6.310996203736419,-0.15688119030689518,,False,0.561344537815126,0.5899159663865546,7.886041111797701,3.4008706376009687,5.3096696254833216,16.596377788341023,11.286708162857702,1.3902401243184925,6.799684577381845,6.383056384276187,12.292136662664113,10.068209948406121,23.83752058701311,0.0110135999711924,0.0024440999986830997,192.8125,0.0,1.1568811903068952,1.256098763781785
