design,model_id,interval_source,dimension,segment,support_status,distribution_family,n,coverage_50,mean_width_50,median_width_50,interval_score_50,coverage_80,mean_width_80,median_width_80,interval_score_80,coverage_95,mean_width_95,median_width_95,interval_score_95,weighted_interval_score,crps,nll,quantile_crossing_rate,native_interval_status
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,transition,accelerating,ELIGIBLE_SUPPORT,distribution_free_conformal,43,0.32558139534883723,6.0534108576126995,6.111953870960576,52.080650861979194,0.46511627906976744,12.376349582414615,12.210959801904792,109.06267083568832,0.5581395348837209,25.45806706074063,22.19115116900537,297.56439462892615,10.984295433683299,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,transition,decelerating,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,20,0.3,6.955884944776381,5.3430966290534165,40.21262111783938,0.65,17.056775660509334,12.924221832936638,83.20630761965283,0.85,42.25016728808415,24.667148984875368,260.68743339903114,8.717035263675818,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,transition,stable,ELIGIBLE_SUPPORT,distribution_free_conformal,182,0.5769230769230769,9.278212465049366,8.09481839296328,13.893024509839567,0.9010989010989011,26.567293464163352,23.068497853070546,29.37242697599177,0.989010989010989,74.80775867589874,77.71581262272349,76.33460597086261,2.9543440468305007,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,transition,volatile_or_gap,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,21,0.5238095238095238,7.333649509888514,7.5983640173451334,30.91405221648502,0.8095238095238095,18.67335273575109,15.50116022869478,65.76843622745106,0.8571428571428571,51.22334746906493,37.21421621810045,185.0571327068387,6.622185278413062,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-D01,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,21,0.2857142857142857,5.727817889196219,6.218954287905859,34.76179313353968,0.5238095238095238,11.836198433191823,11.710110705428477,68.97383492125323,0.7142857142857143,21.86028960527146,20.04588502878812,177.14750750194702,7.113111838032926,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-H01,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,20,0.5,6.343995286438552,6.929856436741726,22.837084520477134,0.75,13.162546742113514,12.244242885326102,41.96687243578822,0.85,24.810503879397817,20.96023610007562,85.96166542033195,4.404005210992962,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-H02,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,20,0.15,5.223362713735318,5.3172458525741035,48.72062045911436,0.45,10.861417084126746,10.901826322169,100.4850402844659,0.55,20.283110261932272,19.123864973178716,292.2429393716394,10.348224979640475,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-H03,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,19,0.42105263157894735,8.112679704393582,5.4228246613666045,19.575612686362863,0.8421052631578947,20.91711320416287,13.689973657712741,39.169511539228914,0.9473684210526315,74.6638215956987,58.906044665860804,92.96864078167128,4.0662032196406885,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-H04,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,20,0.3,6.5741695381428285,7.336088281680861,69.613967248593,0.45,13.606135252522368,14.261764611277254,150.31472742877145,0.6,25.004890078074027,25.491238760398385,469.33839767562904,15.265243428162972,,,,
spatiotemporal_leave_zone_out,B5_fixed_kalman,conformalized,profile,P-H05,DESCRIPTIVE_LOW_SUPPORT,distribution_free_conformal,13,0.38461538461538464,10.893866614709626,9.474915735031288,21.134223446761233,0.9230769230769231,33.87287778693293,30.631104381087454,35.207797437511154,1.0,96.52617610473884,98.20524397765817,96.52617610473884,4.152400745155204,,,,
