model_id,training_campaigns,training_rows,audit_rows,audit_target_date,hyperparameters_retuned,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction
M1_ridge,9,423,88,2023-11-07,False,88,6.709141286703635,4.309399845898913,11.619392366610116,-0.3792588831132582,0.3792588831132582,13.093028204428895,16.366204686040774,71.5355979191863,0.8928553668323388,,,,,,False,0.5795454545454546,0.625
M1_ridge,14,708,88,2023-11-07,False,88,6.80043777284147,4.419478071097703,11.50267164114194,0.5778361521261938,0.5778361521261938,13.525703755039498,17.108028686195983,70.04055258017758,0.8949971631371231,,,,,,False,0.6022727272727273,0.625
M1_ridge,18,823,88,2023-11-07,False,88,6.799431759525373,4.171209057789658,11.55272396146604,0.40134170911376077,0.40134170911376077,14.1211153372082,18.10689936175273,69.84963918974782,0.8940813636804724,,,,,,False,0.5909090909090909,0.625
M2_extra_trees,5,217,88,2023-11-07,False,88,6.776929995790895,4.262489356719845,11.38672306014817,0.8250309255752476,0.8250309255752476,12.260811534303098,21.01468657444737,71.15462718957235,0.8971033812040123,,,,,,False,0.6136363636363636,0.625
M2_extra_trees,9,423,88,2023-11-07,False,88,6.509681350130804,4.4625730152955025,10.974760347518435,0.886997264440824,0.886997264440824,13.059633076210407,21.706771500280503,67.52615448761784,0.9044141341348567,,,,,,False,0.625,0.625
M2_extra_trees,14,708,88,2023-11-07,False,88,6.570397252914355,4.463730841535321,11.193282168185883,0.6425959737931446,0.6425959737931446,12.339007524060433,18.65318651821282,69.70406358429233,0.9005697591413797,,,,,,False,0.6136363636363636,0.625
M2_extra_trees,18,823,88,2023-11-07,False,88,6.598435523476119,4.719306372706603,11.098389117631525,0.6059073473057016,0.6059073473057016,12.77722947490151,18.87749230349336,67.71724126020835,0.9022484882700019,,,,,,False,0.625,0.625
Z01_elastic_net,5,217,88,2023-11-07,False,88,7.396053963408618,4.259892494269412,12.816316941656408,1.6329063518028,1.6329063518028,16.260240581442773,21.237259097027618,66.80546361798599,0.8696442882655953,,,,,,False,0.5795454545454546,0.625
Z01_elastic_net,9,423,88,2023-11-07,False,88,6.726799322853183,4.344293628618146,11.450394646968203,0.19812025909709485,0.19812025909709485,13.491577561504725,19.799755847555257,64.79543685724495,0.8959494217449342,,,,,,False,0.5681818181818182,0.625
Z01_elastic_net,14,708,88,2023-11-07,False,88,6.537237718887192,4.6762371195552035,10.960603071665414,0.9644206516428572,0.9644206516428572,12.778485657360601,16.637703030603454,66.48519795783302,0.9046605837339685,,,,,,False,0.6136363636363636,0.625
Z01_elastic_net,18,823,88,2023-11-07,False,88,6.5292603985236575,4.4888549927245265,10.966565206445418,0.8735553359643015,0.8735553359643015,12.82259261954974,16.406937203460735,65.86826235198116,0.9045568337766593,,,,,,False,0.6022727272727273,0.625
Z08_xgboost,5,217,88,2023-11-07,False,88,7.150938988236631,5.016571339911461,11.49848496876664,1.4394800814427475,1.4394800814427475,14.305706223703416,16.91786192741871,70.55901763431166,0.8950735858128976,,,,,,False,0.5227272727272727,0.625
Z08_xgboost,9,423,88,2023-11-07,False,88,7.191121031969995,4.098771045470801,11.901159140749124,1.0348937361149835,1.0348937361149835,16.241158252957884,22.949922675107285,63.794990992465955,0.8875959103217831,,,,,,False,0.5795454545454546,0.625
Z08_xgboost,14,708,88,2023-11-07,False,88,7.23850078055083,4.471162598304708,11.76003079187787,0.18047200740103755,0.18047200740103755,15.565284556796385,22.892076755287487,64.42595336429213,0.8902459625295321,,,,,,False,0.6136363636363636,0.625
Z08_xgboost,18,823,88,2023-11-07,False,88,7.110371793789809,4.354043142682132,12.15482959438711,0.7530617153852028,0.7530617153852028,14.212255196744836,19.846891072981975,71.37802169314955,0.8827531086359941,,,,,,False,0.5909090909090909,0.625
Z09_lightgbm,5,217,88,2023-11-07,False,88,7.7469448015029005,4.971188375892937,12.050502628978089,1.8982099541047133,1.8982099541047133,18.12309582351768,20.415057515247703,70.78412267434899,0.8847571709004449,,,,,,False,0.5454545454545454,0.625
Z09_lightgbm,9,423,88,2023-11-07,False,88,7.746458708048587,4.577024943053976,13.116428640856517,1.1029158779883501,1.1029158779883501,16.584716004877702,24.467001331735368,72.86107905383304,0.8634678939760383,,,,,,False,0.5454545454545454,0.625
Z09_lightgbm,14,708,88,2023-11-07,False,88,8.0720040018966,4.906555966030813,13.261326513558283,0.027688321982951306,0.027688321982951306,15.513741357779804,23.5545620679862,69.51615745111594,0.8604346773360616,,,,,,False,0.5227272727272727,0.625
Z09_lightgbm,18,823,88,2023-11-07,False,88,7.148418221007401,4.873045763419289,11.487881632631773,1.0652636157534998,1.0652636157534998,14.33458222797919,20.54466713686222,69.80232454342017,0.8952670125231894,,,,,,False,0.5909090909090909,0.625
