design,model_id,scope,group,rows,groups,mae
spatiotemporal_leave_profile_out,M2_extra_trees,by_profile,P-V06,19,1,4.395700565910803
spatiotemporal_leave_profile_out,Z01_elastic_net,pooled_micro,all,266,14,7.447502837382597
spatiotemporal_leave_profile_out,Z01_elastic_net,equal_profile_macro,all_equal_weight,266,14,7.329565698311746
spatiotemporal_leave_profile_out,Z01_elastic_net,worst_profile,P-H04,20,1,19.346494189375523
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-D01,21,1,14.008116627824677
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-H01,20,1,7.823613487575885
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-H02,20,1,11.006847217574617
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-H03,19,1,7.02493334802827
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-H04,20,1,19.346494189375523
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-H05,13,1,7.405422196549641
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-H06,17,1,4.201973546073288
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-H07,19,1,4.720275728887877
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-V01,18,1,4.372706882872836
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-V02,21,1,4.389535580594963
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-V03,21,1,5.172589385326226
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-V04,21,1,5.87837887005107
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-V05,17,1,4.2468648374781335
spatiotemporal_leave_profile_out,Z01_elastic_net,by_profile,P-V06,19,1,3.0161678781514354
spatiotemporal_leave_profile_out,Z08_xgboost,pooled_micro,all,266,14,7.600572110631468
spatiotemporal_leave_profile_out,Z08_xgboost,equal_profile_macro,all_equal_weight,266,14,7.407385431175363
spatiotemporal_leave_profile_out,Z08_xgboost,worst_profile,P-D01,21,1,21.29625240427088
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-D01,21,1,21.29625240427088
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-H01,20,1,10.438178986187172
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-H02,20,1,10.537773340974748
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-H03,19,1,6.457149043512903
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-H04,20,1,15.791363366206067
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-H05,13,1,6.039201138503977
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-H06,17,1,2.6760278647209366
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-H07,19,1,3.897499517636647
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-V01,18,1,4.893560151113905
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-V02,21,1,4.8157700604195846
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-V03,21,1,4.78028085108672
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-V04,21,1,3.6537831361501665
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-V05,17,1,3.995504575159515
spatiotemporal_leave_profile_out,Z08_xgboost,by_profile,P-V06,19,1,4.431051600511852
spatiotemporal_leave_profile_out,Z09_lightgbm,pooled_micro,all,266,14,7.391039959065148
spatiotemporal_leave_profile_out,Z09_lightgbm,equal_profile_macro,all_equal_weight,266,14,7.186869359328399
spatiotemporal_leave_profile_out,Z09_lightgbm,worst_profile,P-D01,21,1,18.728311597406137
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-D01,21,1,18.728311597406137
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-H01,20,1,10.615414411851098
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-H02,20,1,11.418459304078441
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-H03,19,1,4.97855111642794
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-H04,20,1,17.654407005027437
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-H05,13,1,5.5883409310131675
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-H06,17,1,2.328267890217988
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-H07,19,1,3.7706788980357095
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-V01,18,1,4.511566348632386
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-V02,21,1,4.155536835085665
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-V03,21,1,4.648039880866836
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-V04,21,1,4.204761829560309
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-V05,17,1,3.0770268808361045
spatiotemporal_leave_profile_out,Z09_lightgbm,by_profile,P-V06,19,1,4.9368081015583725
spatiotemporal_leave_zone_out,B1_persistence_last_rate,pooled_micro,all,266,4,6.696015897348675
spatiotemporal_leave_zone_out,B1_persistence_last_rate,equal_zone_macro,all_equal_weight,266,4,5.883032588696782
spatiotemporal_leave_zone_out,B1_persistence_last_rate,worst_zone,GEO_SW,117,1,9.56339702808715
spatiotemporal_leave_zone_out,B1_persistence_last_rate,by_zone,GEO_NE,103,1,4.251947918293178
spatiotemporal_leave_zone_out,B1_persistence_last_rate,by_zone,GEO_NW,24,1,5.251430919702193
spatiotemporal_leave_zone_out,B1_persistence_last_rate,by_zone,GEO_SE,22,1,4.465354488704609
spatiotemporal_leave_zone_out,B1_persistence_last_rate,by_zone,GEO_SW,117,1,9.56339702808715
spatiotemporal_leave_zone_out,B3_profile_robust_trend,pooled_micro,all,266,4,8.090640212478721
spatiotemporal_leave_zone_out,B3_profile_robust_trend,equal_zone_macro,all_equal_weight,266,4,6.87901422708309
spatiotemporal_leave_zone_out,B3_profile_robust_trend,worst_zone,GEO_SW,117,1,12.208972529562896
spatiotemporal_leave_zone_out,B3_profile_robust_trend,by_zone,GEO_NE,103,1,4.627723503475924
spatiotemporal_leave_zone_out,B3_profile_robust_trend,by_zone,GEO_NW,24,1,6.029525223001648
spatiotemporal_leave_zone_out,B3_profile_robust_trend,by_zone,GEO_SE,22,1,4.649835652291892
spatiotemporal_leave_zone_out,B3_profile_robust_trend,by_zone,GEO_SW,117,1,12.208972529562896
spatiotemporal_leave_zone_out,B5_fixed_kalman,pooled_micro,all,266,4,6.570213050328746
spatiotemporal_leave_zone_out,B5_fixed_kalman,equal_zone_macro,all_equal_weight,266,4,5.80039716171283
spatiotemporal_leave_zone_out,B5_fixed_kalman,worst_zone,GEO_SW,117,1,9.723260735112158
spatiotemporal_leave_zone_out,B5_fixed_kalman,by_zone,GEO_NE,103,1,3.769866285475541
spatiotemporal_leave_zone_out,B5_fixed_kalman,by_zone,GEO_NW,24,1,4.0863910987719905
spatiotemporal_leave_zone_out,B5_fixed_kalman,by_zone,GEO_SE,22,1,5.62207052749163
spatiotemporal_leave_zone_out,B5_fixed_kalman,by_zone,GEO_SW,117,1,9.723260735112158
spatiotemporal_leave_zone_out,B6_adaptive_kalman,pooled_micro,all,266,4,6.2253731704225554
spatiotemporal_leave_zone_out,B6_adaptive_kalman,equal_zone_macro,all_equal_weight,266,4,5.562305603590028
spatiotemporal_leave_zone_out,B6_adaptive_kalman,worst_zone,GEO_SW,117,1,9.062165282667271
spatiotemporal_leave_zone_out,B6_adaptive_kalman,by_zone,GEO_NE,103,1,3.6721338697776487
spatiotemporal_leave_zone_out,B6_adaptive_kalman,by_zone,GEO_NW,24,1,4.058912455548566
spatiotemporal_leave_zone_out,B6_adaptive_kalman,by_zone,GEO_SE,22,1,5.456010806366627
spatiotemporal_leave_zone_out,B6_adaptive_kalman,by_zone,GEO_SW,117,1,9.062165282667271
spatiotemporal_leave_zone_out,B7_two_regime_imm,pooled_micro,all,266,4,5.7525538469890805
spatiotemporal_leave_zone_out,B7_two_regime_imm,equal_zone_macro,all_equal_weight,266,4,4.975365091299785
spatiotemporal_leave_zone_out,B7_two_regime_imm,worst_zone,GEO_SW,117,1,8.478262599607717
spatiotemporal_leave_zone_out,B7_two_regime_imm,by_zone,GEO_NE,103,1,3.455885388552455
spatiotemporal_leave_zone_out,B7_two_regime_imm,by_zone,GEO_NW,24,1,3.492765914616227
spatiotemporal_leave_zone_out,B7_two_regime_imm,by_zone,GEO_SE,22,1,4.474546462422739
spatiotemporal_leave_zone_out,B7_two_regime_imm,by_zone,GEO_SW,117,1,8.478262599607717
spatiotemporal_leave_zone_out,B8_student_t_robust_imm,pooled_micro,all,266,4,5.884633074311632
spatiotemporal_leave_zone_out,B8_student_t_robust_imm,equal_zone_macro,all_equal_weight,266,4,4.9284490576459685
spatiotemporal_leave_zone_out,B8_student_t_robust_imm,worst_zone,GEO_SW,117,1,8.919625530884483
spatiotemporal_leave_zone_out,B8_student_t_robust_imm,by_zone,GEO_NE,103,1,3.4232461066636986
spatiotemporal_leave_zone_out,B8_student_t_robust_imm,by_zone,GEO_NW,24,1,3.48076031013184
spatiotemporal_leave_zone_out,B8_student_t_robust_imm,by_zone,GEO_SE,22,1,3.890164282903852
spatiotemporal_leave_zone_out,B8_student_t_robust_imm,by_zone,GEO_SW,117,1,8.919625530884483
spatiotemporal_leave_zone_out,M1_ridge,pooled_micro,all,266,4,9.9635393996147
spatiotemporal_leave_zone_out,M1_ridge,equal_zone_macro,all_equal_weight,266,4,7.800501093464787
spatiotemporal_leave_zone_out,M1_ridge,worst_zone,GEO_SW,117,1,12.860436707762497
spatiotemporal_leave_zone_out,M1_ridge,by_zone,GEO_NE,103,1,9.079912879480679
spatiotemporal_leave_zone_out,M1_ridge,by_zone,GEO_NW,24,1,3.3214767986182365
spatiotemporal_leave_zone_out,M1_ridge,by_zone,GEO_SE,22,1,5.940177987997732
spatiotemporal_leave_zone_out,M1_ridge,by_zone,GEO_SW,117,1,12.860436707762497
spatiotemporal_leave_zone_out,M2_extra_trees,pooled_micro,all,266,4,9.897154000533307
spatiotemporal_leave_zone_out,M2_extra_trees,equal_zone_macro,all_equal_weight,266,4,7.623443958146816
spatiotemporal_leave_zone_out,M2_extra_trees,worst_zone,GEO_SW,117,1,15.555878075954661
spatiotemporal_leave_zone_out,M2_extra_trees,by_zone,GEO_NE,103,1,5.880628842644665
spatiotemporal_leave_zone_out,M2_extra_trees,by_zone,GEO_NW,24,1,3.820271177514794
spatiotemporal_leave_zone_out,M2_extra_trees,by_zone,GEO_SE,22,1,5.236997736473144
spatiotemporal_leave_zone_out,M2_extra_trees,by_zone,GEO_SW,117,1,15.555878075954661
spatiotemporal_leave_zone_out,Z01_elastic_net,pooled_micro,all,266,4,10.495235523373932
spatiotemporal_leave_zone_out,Z01_elastic_net,equal_zone_macro,all_equal_weight,266,4,8.344314614176046
spatiotemporal_leave_zone_out,Z01_elastic_net,worst_zone,GEO_SW,117,1,12.947805929197491
spatiotemporal_leave_zone_out,Z01_elastic_net,by_zone,GEO_NE,103,1,10.122326180501762
spatiotemporal_leave_zone_out,Z01_elastic_net,by_zone,GEO_NW,24,1,3.741489637784532
spatiotemporal_leave_zone_out,Z01_elastic_net,by_zone,GEO_SE,22,1,6.565636709220398
spatiotemporal_leave_zone_out,Z01_elastic_net,by_zone,GEO_SW,117,1,12.947805929197491
spatiotemporal_leave_zone_out,Z08_xgboost,pooled_micro,all,266,4,10.230293774015175
spatiotemporal_leave_zone_out,Z08_xgboost,equal_zone_macro,all_equal_weight,266,4,7.807495310641925
spatiotemporal_leave_zone_out,Z08_xgboost,worst_zone,GEO_SW,117,1,15.171518772011478
spatiotemporal_leave_zone_out,Z08_xgboost,by_zone,GEO_NE,103,1,7.235385935704768
spatiotemporal_leave_zone_out,Z08_xgboost,by_zone,GEO_NW,24,1,3.4190062091853926
spatiotemporal_leave_zone_out,Z08_xgboost,by_zone,GEO_SE,22,1,5.404070325666061
spatiotemporal_leave_zone_out,Z08_xgboost,by_zone,GEO_SW,117,1,15.171518772011478
spatiotemporal_leave_zone_out,Z09_lightgbm,pooled_micro,all,266,4,9.231424344594544
spatiotemporal_leave_zone_out,Z09_lightgbm,equal_zone_macro,all_equal_weight,266,4,7.092781173568043
spatiotemporal_leave_zone_out,Z09_lightgbm,worst_zone,GEO_SW,117,1,14.109507565452411
spatiotemporal_leave_zone_out,Z09_lightgbm,by_zone,GEO_NE,103,1,5.970229831139126
spatiotemporal_leave_zone_out,Z09_lightgbm,by_zone,GEO_NW,24,1,3.701148673956336
spatiotemporal_leave_zone_out,Z09_lightgbm,by_zone,GEO_SE,22,1,4.590238623724299
spatiotemporal_leave_zone_out,Z09_lightgbm,by_zone,GEO_SW,117,1,14.109507565452411
