design,model_id,dimension,segment,rows,points,profiles,zones,support_status,mae,rmse,bias
rolling_origin,B7_two_regime_imm,horizon,gt_150,449,98,14,4,ELIGIBLE_SUPPORT,4.874766140014159,8.397031341578002,-0.1357916959394756
rolling_origin,B7_two_regime_imm,horizon,le_90,52,32,5,3,ELIGIBLE_SUPPORT,8.832292316724123,12.847278293887463,-3.5133738659765865
rolling_origin,B7_two_regime_imm,missing_campaigns,0,158,51,8,4,ELIGIBLE_SUPPORT,7.300642186767913,12.801299820850161,-2.373878967820802
rolling_origin,B7_two_regime_imm,missing_campaigns,1,408,96,14,4,ELIGIBLE_SUPPORT,4.973687455243708,8.668606003606314,-0.30381187832681744
rolling_origin,B7_two_regime_imm,missing_campaigns,ge_2,29,28,11,3,ELIGIBLE_SUPPORT,5.960919781293205,9.735940526539517,1.3447124530963233
rolling_origin,B7_two_regime_imm,history,3_5,15,12,8,3,DESCRIPTIVE_LOW_SUPPORT,4.6213800448742495,5.48417826565735,-1.3114409374631997
rolling_origin,B7_two_regime_imm,history,6_9,319,98,14,4,ELIGIBLE_SUPPORT,4.743286727330699,7.9265113961191584,-0.3769921178763105
rolling_origin,B7_two_regime_imm,history,ge_10,261,89,14,4,ELIGIBLE_SUPPORT,6.793882966339689,12.193540643401482,-1.2264343389607044
rolling_origin,B7_two_regime_imm,pooled_transition,transition,182,67,14,4,ELIGIBLE_SUPPORT,9.169444421415516,15.329732392070127,-2.484355205230728
rolling_origin,B8_student_t_robust_imm,transition,accelerating,67,33,10,3,ELIGIBLE_SUPPORT,12.748398221808925,16.900206525736873,-7.172366535774965
rolling_origin,B8_student_t_robust_imm,transition,decelerating,54,34,8,4,ELIGIBLE_SUPPORT,8.460741904467442,17.088775806254944,-1.6202515548883165
rolling_origin,B8_student_t_robust_imm,transition,stable,413,95,14,4,ELIGIBLE_SUPPORT,4.063178922314504,6.307615761972514,-0.01774437721751154
rolling_origin,B8_student_t_robust_imm,transition,volatile_or_gap,61,46,13,4,ELIGIBLE_SUPPORT,7.067920709394167,13.475354724616546,1.0698290456685062
rolling_origin,B8_student_t_robust_imm,horizon,91_150,94,47,7,4,ELIGIBLE_SUPPORT,7.913858457550723,14.764388916279595,-1.9841595267686718
rolling_origin,B8_student_t_robust_imm,horizon,gt_150,449,98,14,4,ELIGIBLE_SUPPORT,4.943730343570996,8.60766830427799,-0.30675027763024976
rolling_origin,B8_student_t_robust_imm,horizon,le_90,52,32,5,3,ELIGIBLE_SUPPORT,8.781176588812093,12.90199350422257,-3.574406301802074
rolling_origin,B8_student_t_robust_imm,missing_campaigns,0,158,51,8,4,ELIGIBLE_SUPPORT,7.650796705971012,13.486051987687729,-2.6051596307937244
rolling_origin,B8_student_t_robust_imm,missing_campaigns,1,408,96,14,4,ELIGIBLE_SUPPORT,5.018112892624678,8.78989183991911,-0.35523835732820025
rolling_origin,B8_student_t_robust_imm,missing_campaigns,ge_2,29,28,11,3,ELIGIBLE_SUPPORT,5.656650419209841,8.620487369255272,1.6014301237713453
rolling_origin,B8_student_t_robust_imm,history,3_5,15,12,8,3,DESCRIPTIVE_LOW_SUPPORT,4.6174860773819715,5.477966378925871,-1.3109758358840011
rolling_origin,B8_student_t_robust_imm,history,6_9,319,98,14,4,ELIGIBLE_SUPPORT,4.800434973769038,8.043682986889824,-0.4911088707219234
rolling_origin,B8_student_t_robust_imm,history,ge_10,261,89,14,4,ELIGIBLE_SUPPORT,6.97186878964874,12.582964276341642,-1.2788606535149103
rolling_origin,B8_student_t_robust_imm,pooled_transition,transition,182,67,14,4,ELIGIBLE_SUPPORT,9.572340148216945,15.894994019007278,-2.762541593819301
rolling_origin,M1_ridge,transition,accelerating,67,33,10,3,ELIGIBLE_SUPPORT,15.56044176236281,20.386594253962446,-9.279247849137535
rolling_origin,M1_ridge,transition,decelerating,54,34,8,4,ELIGIBLE_SUPPORT,7.069088630166254,16.68502737467699,-3.3177688834233185
rolling_origin,M1_ridge,transition,stable,413,95,14,4,ELIGIBLE_SUPPORT,4.582715581022288,6.7070314917478875,-0.5197961138414025
rolling_origin,M1_ridge,transition,volatile_or_gap,61,46,13,4,ELIGIBLE_SUPPORT,6.302924204061557,11.495799109988866,-0.019316019567314942
rolling_origin,M1_ridge,horizon,91_150,94,47,7,4,ELIGIBLE_SUPPORT,8.057952403653491,14.77664030135899,-3.7674573305022148
rolling_origin,M1_ridge,horizon,gt_150,449,98,14,4,ELIGIBLE_SUPPORT,5.429430972547769,9.336720213337205,-0.9272526200300072
rolling_origin,M1_ridge,horizon,le_90,52,32,5,3,ELIGIBLE_SUPPORT,9.733812748074417,13.765144822681199,-4.735495814355731
rolling_origin,M1_ridge,missing_campaigns,0,158,51,8,4,ELIGIBLE_SUPPORT,8.257590727803626,14.052632919699466,-3.3769698022607764
rolling_origin,M1_ridge,missing_campaigns,1,408,96,14,4,ELIGIBLE_SUPPORT,5.469896929184972,9.29708214823095,-1.1486926033560307
rolling_origin,M1_ridge,missing_campaigns,ge_2,29,28,11,3,ELIGIBLE_SUPPORT,5.689759083338101,10.258635872110013,-0.4998409269212497
rolling_origin,M1_ridge,history,3_5,15,12,8,3,DESCRIPTIVE_LOW_SUPPORT,3.4101221672260267,3.944537500230799,-1.2737732280431528
rolling_origin,M1_ridge,history,6_9,319,98,14,4,ELIGIBLE_SUPPORT,5.434694964883843,8.95147140728044,-1.8517460463520081
rolling_origin,M1_ridge,history,ge_10,261,89,14,4,ELIGIBLE_SUPPORT,7.343297966325324,12.943218787897132,-1.5590406536407724
rolling_origin,M1_ridge,pooled_transition,transition,182,67,14,4,ELIGIBLE_SUPPORT,9.938234948104618,16.730000492624107,-4.406853861487254
rolling_origin,M2_extra_trees,transition,accelerating,67,33,10,3,ELIGIBLE_SUPPORT,18.445150212431145,25.262059338847312,-13.048618562158184
rolling_origin,M2_extra_trees,transition,decelerating,54,34,8,4,ELIGIBLE_SUPPORT,7.025030807510366,17.1041993161084,-3.0011338339412497
rolling_origin,M2_extra_trees,transition,stable,413,95,14,4,ELIGIBLE_SUPPORT,4.184504784089599,6.340209058273296,0.6312278475192857
rolling_origin,M2_extra_trees,transition,volatile_or_gap,61,46,13,4,ELIGIBLE_SUPPORT,5.757662017345103,10.614048490385626,0.3073164173621469
rolling_origin,M2_extra_trees,horizon,91_150,94,47,7,4,ELIGIBLE_SUPPORT,9.499318710168621,18.130139126156823,-4.327368277552293
rolling_origin,M2_extra_trees,horizon,gt_150,449,98,14,4,ELIGIBLE_SUPPORT,5.177263190334418,9.608049086239173,-0.4441642151631993
rolling_origin,M2_extra_trees,horizon,le_90,52,32,5,3,ELIGIBLE_SUPPORT,9.174374144413424,13.645351404871244,-2.8975561060514985
rolling_origin,M2_extra_trees,missing_campaigns,0,158,51,8,4,ELIGIBLE_SUPPORT,8.282420152530333,14.663580048640144,-2.607108556664118
rolling_origin,M2_extra_trees,missing_campaigns,1,408,96,14,4,ELIGIBLE_SUPPORT,5.398854004926091,10.41087751753739,-0.8440532942137012
rolling_origin,M2_extra_trees,missing_campaigns,ge_2,29,28,11,3,ELIGIBLE_SUPPORT,6.318612710891885,11.498909364579,-0.01994386968100237
rolling_origin,M2_extra_trees,history,3_5,15,12,8,3,DESCRIPTIVE_LOW_SUPPORT,3.0519446946164956,3.878720500237163,-0.34435652155618107
rolling_origin,M2_extra_trees,history,6_9,319,98,14,4,ELIGIBLE_SUPPORT,5.112568105737242,9.741400741370903,-1.0271876481440074
