point_id,profile_id,point_type,chainage_m,chainage_normalized_profile,kzt,kzt__standard_uncertainty,kzt__donor_distance_m,kzt__provenance,ko,ko__standard_uncertainty,ko__donor_distance_m,ko__provenance,seismic_energy_J_m2,seismic_energy_J_m2__standard_uncertainty,seismic_energy_J_m2__donor_distance_m,seismic_energy_J_m2__provenance,fill_density,fill_density__standard_uncertainty,fill_density__donor_distance_m,fill_density__provenance,fault_distance_m,fault_distance_m__standard_uncertainty,fault_distance_m__donor_distance_m,fault_distance_m__provenance,lithology,lithology__standard_uncertainty,lithology__donor_distance_m,lithology__provenance,terrain_TRI_relative,terrain_TRI_relative__standard_uncertainty,terrain_TRI_relative__donor_distance_m,terrain_TRI_relative__provenance,terrain_roughness_relative,terrain_roughness_relative__standard_uncertainty,terrain_roughness_relative__donor_distance_m,terrain_roughness_relative__provenance
P-H03-W001,P-H03,WORK,0,0.3089278152,0.378779429154803,0.08836617813,152.2886133,R,0.65,0.014,0,D,7.5,3,100,R,0.71074378490448,0.08,13.49380137,C/R,71.4591474924713,25,13.49380137,C/R,mixed_salts,,0,D,0.238888888888889,0.1,13.49380137,C/R,0.416993464052288,0.1,13.49380137,C/R
P-H03-W002,P-H03,WORK,87.45483081,0.3861199004,0.375560032754752,0.08929822128,158.113883,R,0.519129884657595,0.0315,50,R,7.5,3,100,R,0.652892589569092,0.08,16.65548412,C/R,54.8473018953629,25,16.65548412,C/R,mixed_salts,,0,D,0.166666666666667,0.1,16.65548412,C/R,0.287581699346405,0.1,16.65548412,C/R
P-H03-W003,P-H03,WORK,124.3432683,0.418679513,0.380808696784482,0.0928444102,180.2775638,R,0.503564829842913,0.0315,50,R,7.5,3,100,R,0.71074378490448,0.08,13.82118334,C/R,11.7747318455153,25,13.82118334,C/R,mixed_salts,,0,D,,0.1,13.82118334,C/R,,0.1,13.82118334,C/R
P-H03-W004,P-H03,WORK,200.0275754,0.4854823348,0.376958805250669,0.08929822128,158.113883,R,0.516068317290377,0.0315,50,R,7.5,3,100,R,0.727272748947144,0.08,26.13728469,C/R,18.9737658452066,25,26.13728469,C/R,mixed_salts,,0,D,0.172222222222222,0.1,26.13728469,C/R,0.300653594771242,0.1,26.13728469,C/R
P-H03-W005,P-H03,WORK,308.4061907,0.5811428172,0.367701468054566,0.0928444102,180.2775638,R,0.502213676124911,0.0315,50,R,7.5,3,100,R,0.743801653385162,0.08,23.43033878,C/R,19.0911089918368,25,23.43033878,C/R,mixed_salts,,0,D,0.233333333333333,0.1,23.43033878,C/R,0.394771241830065,0.1,23.43033878,C/R
P-H03-W006,P-H03,WORK,321.2828117,0.5925083783,0.367701468054566,0.0928444102,180.2775638,R,0.502213676124911,0.0315,50,R,7.5,3,100,R,0.743801653385162,0.08,14.84440413,C/R,19.0911089918368,25,14.84440413,C/R,mixed_salts,,0,D,0.233333333333333,0.1,14.84440413,C/R,0.394771241830065,0.1,14.84440413,C/R
P-H03-W007,P-H03,WORK,432.9507501,0.6910721848,0.359108328676652,0.09663916059,203.9947537,R,0.530083985463342,0.0315,50,R,7.5,3.046605709,107.7676182,R,0.553718984127045,0.08,20.2633206,C/R,69.725006551528,25,20.2633206,C/R,carnallite,,0,D,0.266666666666667,0.1,20.2633206,C/R,0.443137254901961,0.1,20.2633206,C/R
P-H03-REF-B,P-H03,REF,782.9507501,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-H04-REF-A,P-H04,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-H04-W001,P-H04,WORK,0,0.2693405215,0.500788681870142,0.07048777543,40.54859642,R,0.493575418994413,0.014,0,D,7.5,1.2,0,D,0.206611573696136,0.08,24.67746239,C/R,54.1596600180491,25,24.67746239,C/R,carnallite,,0,D,0.216666666666667,0.1,24.67746239,C/R,0.366013071895425,0.1,24.67746239,C/R
