point_id,profile_label,figure_order,distance_label_as_printed_km,distance_value_from_label_km,method,observation_interval_label,source_pixel_x,source_pixel_y,signed_displacement_mm,digitization_envelope_half_width_mm,reading_status,reading_envelope_interpretation,source_file,source_sha256,pdf_page,provenance,eligible_as_t1_time_series,mapped_synthetic_point_id,input_table,input_row_number,input_table_sha256,origin_class,provenance_hash,reading_priority
SUP01-P1-LEVELING-2015_2016-007,1,7,0.700000000,0.700000000,leveling,2015-2016,459.807692308,114.500000000,-28.100000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,22,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-008,1,8,0.800000000,0.800000000,leveling,2015-2016,515.192307692,120.500000000,-35.200000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,23,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-009,1,9,0.900000000,0.900000000,leveling,2015-2016,570.576923077,132.500000000,-49.600000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,24,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-010,1,10,1.000000000,1.000000000,leveling,2015-2016,625.961538462,135.500000000,-53.100000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,25,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-011,1,11,1.100000000,1.100000000,leveling,2015-2016,681.346153846,144.000000000,-63.300000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,26,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-012,1,12,1.200000000,1.200000000,leveling,2015-2016,736.730769231,147.500000000,-67.500000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,27,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-013,1,13,1.300000000,1.300000000,leveling,2015-2016,792.115384615,149.500000000,-69.900000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,28,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-LEVELING-2015_2016-014,1,14,1.400000000,1.400000000,leveling,2015-2016,847.500000000,149.500000000,-69.900000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,29,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-RADAR-2011_2016-001,1,1,0.000000000,0.000000000,radar,2011-2016,127.500000000,104.000000000,-15.500000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,30,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-RADAR-2011_2016-002,1,2,0.200000000,0.200000000,radar,2011-2016,182.884615385,106.500000000,-18.500000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,31,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-RADAR-2011_2016-003,1,3,0.300000000,0.300000000,radar,2011-2016,238.269230769,127.500000000,-43.600000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,32,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
SUP01-P1-RADAR-2011_2016-004,1,4,0.400000000,0.400000000,radar,2011-2016,293.653846154,161.500000000,-84.200000000,3.600000000,digitized_marker_or_visible_curve,digitization_bound_not_measurement_sigma_or_confidence_interval,geokniga-02obrabotka.pdf,4d20f03c0c3a7bb7039c405e2aff2780a30d9f6e52e99fe5da50fa4c9ccbe947,15,D_published_graph,False,,artifacts/reconstruction/musikhin_profiles_2011_2016_v1/profile_1/points.csv,33,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,DIGITIZED,aa60e9e03de1ef5d4caa1a78962efb5287e2984cf17c3da5d0054fba1bb3d109,accepted_atlas
